IJH: iShares Core S&P Mid-Cap ETF
Inception Date: 2000-05-22
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	44706298
Shares Outstanding: 238600000
Expense Ratio: 0.07%
Tracks This Index: S&P MidCap 400 Index
ETFdb.com Category: Mid Cap Growth Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/IJH


Holding,Symbol,Weighting
Avnet Inc,AVT,0.2729%
Idacorp Inc,IDA,0.2723%
Trinity Industries Inc,TRN,0.2722%
Blackbaud Inc,BLKB,0.2712%
Rollins Inc,ROL,0.2708%
Kirby Corp,KEX,0.2691%
Highwoods Properties Inc,HIW,0.2682%
Arris International PLC,ARRS,0.2676%
Monolithic Power Systems Inc,MPWR,0.2665%
United Therapeutics Corp,UTHR,0.2616%
Associated Banc-Corp,ASB,0.2607%
Genesee & Wyoming Inc,GWR,0.2601%
Ashland Global Holdings Inc,ASH,0.258%
National Fuel Gas Co,NFG,0.2577%
WGL Holdings Inc,WGL,0.2565%
Maximus Inc,MMS,0.2546%
EMCOR Group Inc,EME,0.2544%
Medidata Solutions Inc,MDSO,0.2539%
Masimo Corp,MASI,0.2536%
National Instruments Corp,NATI,0.2529%
MEDNAX Inc,MD,0.2519%
Landstar System Inc,LSTR,0.2515%
ITT Inc,ITT,0.2508%
TCF Financial Corp,TCF,0.2502%
Coherent Inc,COHR,0.2491%
PBF Energy Inc,PBF,0.249%
Crane Co,CR,0.2488%
Dun & Bradstreet Corp,DNB,0.2482%
Evercore Inc,EVR,0.2457%
Hancock Holding Co,HBHC,0.2454%
F.N.B. Corp,FNB,0.2435%
Delphi Technologies PLC,DLPH,0.2434%
Stifel Financial Corp,SF,0.241%
Flowers Foods Inc,FLO,0.2409%
Life Storage Inc,LSI,0.2394%
Silicon Laboratories Inc,SLAB,0.2394%
Cinemark Holdings Inc,CNK,0.239%
NU Skin Enterprises Inc,NUS,0.2375%
Louisiana-Pacific Corp,LPX,0.2375%
Texas Roadhouse Inc,TXRH,0.2374%
Primerica Inc,PRI,0.2366%
Corelogic Inc,CLGX,0.2333%
Valvoline Inc,VVV,0.2325%
Cantel Medical Corp,CMD,0.2323%
j2 Global Inc,JCOM,0.2321%
Woodward Inc,WWD,0.2309%
MSC Industrial Direct Co Inc,MSM,0.2297%
Cracker Barrel Old Country Store Inc,CBRL,0.2295%
ALLETE Inc,ALE,0.2287%
Versum Materials Inc,VSM,0.2285%
Five Below Inc,FIVE,0.2278%
AGCO Corp,AGCO,0.2276%
Chemical Financial Corp,CHFC,0.2274%
Bemis Company Inc,BMS,0.2264%
ICU Medical Inc,ICUI,0.2254%
Cree Inc,CREE,0.2248%
Hospitality Properties Trust,HPT,0.2226%
Cousins Properties Inc,CUZ,0.2215%
Molina Healthcare Inc,MOH,0.2212%
Skechers USA Inc,SKX,0.221%
ONE Gas Inc,OGS,0.2209%
Brinks Co,BCO,0.22%
Integrated Device Technology Inc,IDTI,0.2199%
Hawaiian Electric Industries Inc,HE,0.2193%
nVent Electric PLC,NVT,0.2186%
Ciena Corp,CIEN,0.2169%
Williams-Sonoma Inc,WSM,0.2166%
First Industrial Realty Trust Inc,FR,0.2162%
Caseys General Stores Inc,CASY,0.2156%
Home BancShares Inc,HOMB,0.2142%
Lumentum Holdings Inc,LITE,0.2123%
New Jersey Resources Corp,NJR,0.2119%
ILG Inc,ILG,0.2116%
Senior Housing Properties Trust,SNH,0.2108%
Science Applications International Corp,SAIC,0.21%
United Bankshares Inc,UBSI,0.2094%
Globus Medical Inc,GMED,0.2093%
MB Financial Inc,MBFI,0.2092%
CoreSite Realty Corp,COR,0.2087%
Bank of Hawaii Corp,BOH,0.2075%
