EEM: iShares MSCI Emerging Markets ETF
Inception Date: 2003-04-11
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	40817578
Shares Outstanding: 870750000
Expense Ratio: 0.69%
Tracks This Index: MSCI Emerging Markets Index
ETFdb.com Category: Emerging Markets Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/EEM


Holding,Symbol,Weighting
HCL Technologies Ltd,HCLT,0.1542%
Aspen Pharmacare Holdings Ltd,APN,0.1542%
Emirates Telecommunications Group Co PJSC,ETISALAT,0.1524%
China Shenhua Energy Co Ltd,1088,0.1504%
CIMB Group Holdings Bhd,CIMB,0.1502%
58.com Inc,WUBA,0.149%
Kia Motors Corp,000270,0.1487%
Tata Motors Ltd,TTMT,0.147%
China Unicom Hong Kong Ltd,762,0.1461%
Siam Commercial Bank PCL,SCB-R,0.1414%
Samsung Fire & Marine Insurance Co Ltd,000810,0.1396%
Vodacom Group Ltd,VOD,0.1378%
Kasikornbank PCL,KBANK-F,0.1373%
Sun Pharmaceutical Industries Ltd,SUNP,0.137%
Samsung Life Insurance Co Ltd,032830,0.1368%
Samsung SDS Co Ltd,018260,0.1367%
Bid Corporation Ltd,BID,0.1366%
Polski Koncern Naftowy Orlen SA,PKN,0.1355%
PICC Property and Casualty Co Ltd,2328,0.1341%
LG Corp,003550,0.1326%
Powszechny Zaklad Ubezpieczen SA,PZU,0.1315%
Anhui Conch Cement Co Ltd,914,0.1312%
SACI Falabella,FALABELLA,0.1289%
PTT Global Chemical PCL,PTTGC-R,0.1272%
Bank of Communications Co Ltd,3328,0.1257%
Woori Bank,000030,0.125%
Advanced Info Service PCL,ADVANC-R,0.1248%
Magnit PAO,MGNT,0.1238%
China Resources Beer Holdings Co Ltd,291,0.1217%
Growthpoint Properties Ltd,GRT,0.1204%
First Financial Holding Co Ltd,2892,0.1204%
Delta Electronics Inc,2308,0.1203%
Cielo SA,CIEL3,0.1203%
Enel Americas SA,ENELAM,0.12%
Bidvest Group Ltd,BVT,0.1194%
China Citic Bank Corp Ltd,998,0.119%
United Microelectronics Corp,2303,0.1189%
China Telecom Corp Ltd,728,0.1184%
Vipshop Holdings Ltd,VIPS,0.1173%
Vedanta Ltd,SSLT,0.1171%
E.SUN Financial Holding Co Ltd,2884,0.1161%
Lojas Renner SA,LREN3,0.1158%
State Bank of India,SBIN,0.1148%
Indiabulls Housing Finance Ltd,IBULHSGFIN,0.1147%
Samsung Biologics Co Ltd,207940,0.1136%
Eicher Motors Ltd,EIM,0.1127%
China Gas Holdings Ltd,384,0.1126%
Samsung Electro-Mechanics Co Ltd,009150,0.1126%
Ultrapar Participacoes SA,UGPA3,0.1123%
Telefonica Brasil SA,VIVT4,0.1116%
Ayala Land Inc,ALI,0.1111%
ANTA Sports Products Ltd,2020,0.1097%
PTT Exploration and Production PCL,PTTEP-R,0.108%
NK Lukoil PAO,LKOD,0.107%
Empresas Copec SA,COPEC,0.1066%
NCSOFT Corp,036570,0.1061%
Taiwan Mobile Co Ltd,3045,0.106%
Catcher Technology Co Ltd,2474,0.106%
Lotte Chemical Corp,011170,0.1054%
Shenzhou International Group Holdings Ltd,2313,0.1037%
Hengan International Group Company Ltd,1044,0.1034%
SM Prime Holdings Inc,SMPH,0.1027%
Banco Santander-Chile,BSANTANDER,0.1018%
Bancolombia SA,PFBCOLOM,0.1011%
Fosun International Ltd,656,0.1008%
Emaar Properties PJSC,EMAAR,0.1006%
SINA Corp,SINA,0.1004%
