VXX: iPath S&P 500 VIX Short-Term Futures ETN
Inception Date: 2009-01-29
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	942207
Shares Outstanding: 22765000
Expense Ratio: 0.89%
Tracks This Index: S&P 500 VIX Short-Term Futures Index Total Return
ETFdb.com Category: Volatility
Issuer: Barclays Capital
Structure: ETN
ETF Home Page: http://etfdb.com/etf/VXX


Holding,Symbol,Weighting
CBOE Volatility Index (VIX) Futures,UX,100.0%
