VEU: Vanguard FTSE All-World ex-US ETF
Inception Date: 2007-03-08
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	23584679
Shares Outstanding: 433701000
Expense Ratio: 0.11%
Tracks This Index: FTSE All-World ex US Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VEU


Holding,Symbol,Weighting
Nippon Telegraph and Telephone Corp,9432,0.1442%
Mitsui & Co Ltd,8031,0.1439%
Daikin Industries Ltd,6367,0.1424%
Astellas Pharma Inc,4503,0.1424%
Komatsu Ltd,6301,0.1416%
Safran SA,SAF,0.1405%
Manulife Financial Corp,MFC,0.1379%
Tesco PLC,TSCO,0.1375%
United Overseas Bank Ltd,U11,0.1373%
Ambev SA,ABEV,0.137%
Orange SA,ORA,0.1354%
Nutrien Ltd,NTR,0.1353%
Vivendi SA,VIV,0.1346%
Mitsubishi Electric Corp,6503,0.1346%
Panasonic Corp,6752,0.1341%
Muenchener Rueckversicherungs Gesellschaft AG in Muenchen,MUV2,0.1329%
Nordea Bank AB,NDA.SEK,0.1319%
CRH PLC,CRH,0.1319%
China Petroleum & Chemical Corp,386,0.1318%
Atlas Copco AB,ATCO.A,0.1317%
Fanuc Corp,6954,0.1317%
Itochu Corp,8001,0.1314%
Hyundai Motor Co,005380,0.1306%
Aviva PLC,AV.,0.13%
America Movil SAB de CV,AMXL,0.1282%
Legrand SA,LR,0.1264%
Otsuka Holdings Co Ltd,4578,0.1263%
Bridgestone Corp,5108,0.1251%
Standard Chartered PLC,STAN,0.1243%
Woolworths Group Ltd,WOW,0.1243%
Essilor International SA,EI,0.124%
Gazprom PAO,OGZD,0.1238%
NTT Docomo Inc,9437,0.1234%
Compagnie de Saint Gobain SA,SGO,0.1232%
Fomento Economico Mexicano SAB de CV,FEMSAUBD,0.1229%
BT Group PLC,BT.A,0.1229%
Posco,PKX,0.122%
Central Japan Railway Co,9022,0.1211%
