EXIV: VelocityShares 1X Daily Inverse VSTOXX Futures ETN
Inception Date: 2017-05-02
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	31089
Shares Outstanding: 820000
Expense Ratio: 1.35%
Tracks This Index: VSTOXX Short-Term Futures Inverse Investable Index
ETFdb.com Category: Inverse Volatility
Issuer: UBS
Structure: ETN
ETF Home Page: http://etfdb.com/etf/EXIV


Holding,Symbol,Weighting
VSTOXX Euro Stoxx 50 Futures,VSTOXX,100.0%
