EFA: iShares MSCI EAFE ETF
Inception Date: 2001-08-14
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	77993441
Shares Outstanding: 1104000000
Expense Ratio: 0.32%
Tracks This Index: MSCI EAFE Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/EFA


Holding,Symbol,Weighting
Danske Bank A/S,DANSKE,0.1739%
Bridgestone Corp,5108,0.1738%
Recruit Holdings Co Ltd,6098,0.1727%
Compagnie de Saint Gobain SA,SGO,0.1726%
Macquarie Group Ltd,MQG,0.172%
Lafargeholcim Ltd,LHN,0.1696%
Assicurazioni Generali SpA,G,0.1663%
Fiat Chrysler Automobiles NV,FCA,0.1625%
Vonovia SE,VNA,0.1607%
E.ON SE,EOAN,0.1603%
Denso Corp,6902,0.1598%
Compagnie Generale des Etablissements Michelin SCA,ML,0.1596%
Kirin Holdings Co Ltd,2503,0.1589%
Sampo Oyj,SAMPO,0.1581%
Nissan Motor Co Ltd,7201,0.1575%
Orix Corp,8591,0.1574%
Repsol SA,REP,0.1572%
Unibail Rodamco SE,UL,0.1556%
Murata Manufacturing Co Ltd,6981,0.1541%
Telefonaktiebolaget LM Ericsson,ERIC.B,0.152%
Woodside Petroleum Ltd,WPL,0.1518%
Sun Hung Kai Properties Ltd,16,0.1513%
ArcelorMittal SA,MT,0.1512%
Shiseido Co Ltd,4911,0.1508%
Akzo Nobel NV,AKZA,0.1499%
Mitsubishi Estate Co Ltd,8802,0.1498%
Relx PLC,REL,0.149%
Mitsui Fudosan Co Ltd,8801,0.1486%
Fresenius Medical Care AG & Co KGaA,FME,0.1482%
WPP PLC,WPP,0.1471%
Capgemini SE,CAP,0.147%
Henkel AG & Co KgaA,HEN3,0.1468%
Legal & General Group PLC,LGEN,0.1452%
KBC Groep NV,KBC,0.1447%
Singapore Telecommunications Ltd,Z74,0.144%
Experian PLC,EXPN,0.1433%
CK Asset Holdings Ltd,1113,0.1422%
Oriental Land Co Ltd,4661,0.1416%
Assa Abloy AB,ASSA.B,0.1405%
Dai-ichi Life Holdings Inc,8750,0.1402%
Sumitomo Corp,8053,0.1392%
Renault SA,RNO,0.1371%
Legrand SA,LR,0.1361%
Subaru Corp,7270,0.1358%
Nomura Holdings Inc,8604,0.1352%
Relx NV,REN,0.1352%
Hermes International SCA,RMS,0.1345%
JXTG Holdings Inc,5020,0.1339%
Daiichi Sankyo Co Ltd,4568,0.1315%
Givaudan SA,GIVN,0.1315%
Transurban Group,TCL,0.131%
Investor AB,INVE.B,0.1309%
Kyocera Corp,6971,0.1303%
UPM-Kymmene Oyj,UPM,0.13%
Daiwa House Industry Co Ltd,1925,0.1294%
Japan Post Holdings Co Ltd,6178,0.1294%
Sky PLC,SKY,0.1284%
Galaxy Entertainment Group Ltd,27,0.128%
Sandvik AB,SAND,0.1278%
Hang Seng Bank Ltd,11,0.1277%
Swedbank AB,SWED.A,0.1274%
Ferguson Plc,FERG,0.1268%
SSE PLC,SSE,0.1265%
Hoya Corp,7741,0.1257%
Koninklijke DSM NV,DSM,0.125%
Rolls-Royce Holdings PLC,RR.,0.1247%
BOC Hong Kong Holdings Ltd,2388,0.1237%
London Stock Exchange Group PLC,LSE,0.1237%
DNB ASA,DNB,0.1236%
Link Real Estate Investment Trust,823,0.1235%
Lonza Group AG,LONN,0.1224%
Credit Agricole SA,ACA,0.1219%
Otsuka Holdings Co Ltd,4578,0.1218%
Asahi Group Holdings Ltd,2502,0.1201%
Caixabank SA,CABK,0.1188%
Terumo Corp,4543,0.1184%
Kubota Corp,6326,0.1177%
Hong Kong and China Gas Co Ltd,3,0.1149%
Suzuki Motor Corp,7269,0.1136%
Asahi Kasei Corp,3407,0.1136%
Toshiba Corp,6502,0.1129%
Svenska Handelsbanken AB,SHB.A,0.1126%
Teva Pharmaceutical Industries Ltd,TEVA,0.1126%
Eisai Co Ltd,4523,0.1119%
Old Mutual PLC,OML,0.1113%
Deutsche Wohnen SE,DWNI,0.1112%
Dassault Systemes SE,DSY,0.1111%
Smith & Nephew PLC,SN.,0.1107%
Kone Oyj,KNEBV,0.1106%
CLP Holdings Ltd,2,0.1103%
Telenor ASA,TEL,0.11%
Scentre Group,SCG,0.1095%
Keyence Corp,KYCCF,0.1095%
Valeo SA,FR,0.1089%
H & M Hennes & Mauritz AB,HM.B,0.1087%
Wirecard AG,WDI,0.1086%
Wolters Kluwer NV,WKL,0.1083%
Nippon Steel & Sumitomo Metal Corp,5401,0.1083%
Kerry Group PLC,KRZ,0.1079%
Geberit AG,GEBN,0.1069%
Fast Retailing Co Ltd,9983,0.1058%
Ferrari NV,RACE,0.1035%
Sika AG,SIK,0.1031%
MS&AD Insurance Group Holdings Inc,8725,0.1025%
DSV A/S,DSV,0.1023%
Essity AB (publ),ESSITY.B,0.1018%
Atlantia SpA,ATL,0.1016%
Publicis Groupe SA,PUB,0.1015%
The Swatch Group AG,UHR,0.1012%
Melrose Industries PLC,MRO,0.1012%
Abertis Infraestructuras SA,ABE,0.1006%
Hexagon AB,HEXA.B,0.0998%
Covestro AG,1COV,0.0987%
HeidelbergCement AG,HEI,0.0978%
Fujifilm Holdings Corp,4901,0.0975%
Shionogi & Co Ltd,4507,0.0973%
South32 Ltd,S32,0.0964%
Skandinaviska Enskilda Banken AB,SEB.A,0.0963%
Sands China Ltd,1928,0.0961%
STMicroelectronics NV,STM,0.0959%
Erste Group Bank AG,EBS,0.0959%
Insurance Australia Group Ltd,IAG,0.0953%
Vestas Wind Systems A/S,VWS,0.0945%
NN Group NV,NN,0.0942%
Sumitomo Realty & Development Co Ltd,8830,0.0942%
Aena SME SA,AENA,0.0937%
Peugeot SA,UG,0.0932%
Atlas Copco AB,ATCO.B,0.0923%
Ashtead Group PLC,AHT,0.0919%
Toray Industries Inc,3402,0.0912%
Commerzbank AG,CBK,0.0911%
Telia Company AB,TELIA,0.0907%
Westfield Corp,WFD,0.0902%
Suncorp Group Ltd,SUN,0.09%
Julius Baer Gruppe AG,BAER,0.0899%
Sumitomo Mitsui Trust Holdings Inc,8309,0.0894%
Sompo Holdings Inc,8630,0.089%
Secom Co Ltd,9735,0.0889%
SMC Corp,6273,0.0887%
Thales SA,HO,0.0885%
Porsche Automobil Holding SE,PAH3,0.0879%
ABN AMRO Group NV,ABN,0.0878%
Mitsubishi Chemical Holdings Corp,4188,0.0876%
Standard Life Aberdeen PLC,SLA,0.0872%
Royal Bank of Scotland Group PLC,RBS,0.087%
Associated British Foods PLC,ABF,0.0861%
Jardine Matheson Holdings Ltd,J36,0.086%
SGS SA,SGSN,0.086%
Check Point Software Technologies Ltd,CHKP,0.0853%
Resona Holdings Inc,8308,0.085%
Partners Group Holding AG,PGHN,0.0846%
Origin Energy Ltd,ORG,0.0841%
Aegon NV,AGN,0.0839%
Merck KGaA,MRK,0.0836%
CNH Industrial NV,CNHI,0.0834%
3i Group PLC,III,0.0829%
RWE AG,RWE,0.0826%
Atos SE,ATO,0.0825%
Orsted A/S,ORSTED,0.0824%
Goodman Group Pty Ltd,GMG,0.0823%
Sysmex Corp,6869,0.0818%
Marubeni Corp,8002,0.0818%
Newcrest Mining Ltd,NCM,0.0813%
Inpex Corp,1605,0.0811%
Carnival PLC,CCL,0.0808%
Carlsberg A/S,CARL.B,0.0805%
Henkel AG & Co KgaA,HEN,0.0802%
Swisscom AG,SCMN,0.0794%
Nitori Holdings Co Ltd,9843,0.0793%
Aeon Co Ltd,8267,0.079%
Amcor Ltd,AMC,0.078%
Brambles Ltd,BXB,0.078%
Centrica PLC,CNA,0.0779%
Pandora A/S,PNDORA,0.0779%
Genmab A/S,GEN,0.0771%
Carrefour SA,CA,0.077%
Sumitomo Electric Industries Ltd,5802,0.0767%
Umicore SA,UMI,0.0765%
Telecom Italia SpA,TIT,0.0763%
Heineken Holding NV,HEIO,0.0762%
JFE Holdings Inc,5411,0.0756%
Thyssenkrupp AG,TKA,0.0754%
Swiss Life Holding AG,SLHN,0.0752%
Aristocrat Leisure Ltd,ALL,0.075%
Persimmon PLC,PSN,0.0747%
InterContinental Hotels Group PLC,IHG,0.0746%
Veolia Environnement SA,VIE,0.0745%
Nitto Denko Corp,6988,0.0743%
Beiersdorf AG,BEI,0.0742%
Mitsubishi Heavy Industries Ltd,7011,0.0741%
Chugai Pharmaceutical Co Ltd,4519,0.0741%
Burberry Group PLC,BRBY,0.074%
Stora Enso Oyj,STERV,0.0734%
AGL Energy Ltd,AGL,0.0727%
Adecco Group AG,ADEN,0.0726%
Fujitsu Ltd,6702,0.0724%
Unicharm Corp,8113,0.0722%
Novozymes A/S,NZYM.B,0.072%
Intertek Group PLC,ITRK,0.0715%
Snam SpA,SRG,0.0714%
ACS Actividades de Construccion y Servicios SA,ACS,0.0704%
Solvay SA,SOLB,0.0701%
Luxottica Group SpA,LUX,0.07%
Tokyo Gas Co Ltd,9531,0.0699%
Whitbread PLC,WTB,0.0699%
Accor SA,AC,0.0697%
Bouygues SA,EN,0.0695%
Olympus Corp,7733,0.0691%
West Japan Railway Co,9021,0.0691%
Koninklijke KPN NV,KPN,0.069%
QBE Insurance Group Ltd,QBE,0.069%
Neste Oyj,NESTE,0.0688%
Banco de Sabadell SA,SAB,0.0685%
Ferrovial SA,FER,0.0685%
Next PLC,NXT,0.0683%
Treasury Wine Estates Ltd,TWE,0.0682%
AP Moeller - Maersk A/S,MAERSK.B,0.0681%
Coloplast A/S,COLO.B,0.068%
Chubu Electric Power Co Inc,9502,0.0676%
Dentsu Inc,4324,0.0672%
Fortum Oyj,FORTUM,0.0671%
Yaskawa Electric Corp,6506,0.0669%
Kansai Electric Power Co Inc,9503,0.0667%
Ageas SA,AGS,0.0667%
Tui AG,TUI,0.0667%
Mondi PLC,MNDI,0.0665%
Symrise AG,SY1,0.0664%
Telstra Corporation Ltd,TLS,0.0661%
Bunzl plc,BNZL,0.0655%
Land Securities Group PLC,LAND,0.0653%
Ajinomoto Co Inc,2802,0.0649%
Boliden AB,BOL,0.0647%
Aisin Seiki Co Ltd,7259,0.0646%
Yamato Holdings Co Ltd,9064,0.0641%
Omron Corp,6645,0.0638%
Taisei Corp,1801,0.0634%
Shimano Inc,7309,0.0633%
Marine Harvest ASA,MHG,0.0628%
Ucb SA,UCB,0.0628%
Galp Energia SGPS SA,GALP,0.0627%
Japan Exchange Group Inc,8697,0.0625%
Sage Group PLC,SGE,0.0624%
Wartsila Oyj Abp,WRT1V,0.0624%
Makita Corp,6586,0.0623%
TDK Corp,6762,0.0622%
Groep Brussel Lambert NV,GBLB,0.0617%
Pearson PLC,PSON,0.0613%
Power Assets Holdings Ltd,6,0.0612%
OMV AG,OMV,0.0612%
Teleperformance SE,TEP,0.0611%
MTU Aero Engines AG,MTX,0.0607%
Gas Natural SDG SA,GAS,0.0606%
Sumitomo Metal Mining Co Ltd,5713,0.0604%
Chr Hansen Holding A/S,CHR,0.0604%
Red Electrica Corporacion SA,REE,0.0603%
Ono Pharmaceutical Co Ltd,4528,0.0601%
Tenaris SA,TEN,0.0598%
AMP Ltd,AMP,0.0598%
Yamaha Motor Co Ltd,7272,0.059%
Sodexo SA,SW,0.059%
Brenntag AG,BNR,0.059%
Keppel Corporation Ltd,BN4,0.059%
RSA Insurance Group PLC,RSA,0.059%
Tokyu Corp,9005,0.0589%
Klepierre SA,LI,0.0588%
Arkema SA,AKE,0.0587%
Sonova Holding AG,SOON,0.0584%
British Land Company PLC,BLND,0.0583%
ASX Ltd,ASX,0.0581%
Kingfisher PLC,KGF,0.058%
Smiths Group PLC,SMIN,0.0579%
DCC PLC,DCC,0.0579%
WH Group Ltd,288,0.0578%
EDP Energias de Portugal SA,EDP,0.0575%
Isuzu Motors Ltd,7202,0.0575%
Santos Ltd,STO,0.0574%
Kuehne und Nagel International AG,KNIN,0.0573%
Johnson Matthey PLC,JMAT,0.0573%
Hongkong Land Holdings Ltd,H78,0.0572%
Eiffage SA,FGR,0.0572%
Toyota Industries Corp,6201,0.0568%
Daiwa Securities Group Inc,8601,0.0568%
Grifols SA,GRF,0.0566%
Schindler Holding AG,SCHP,0.0566%
Meiji Holdings Co Ltd,2269,0.0565%
Bank Leumi Le Israel BM,LUMI,0.0562%
Cochlear Ltd,COH,0.0562%
Norsk Hydro ASA,NHY,0.0562%
