VGT: Vanguard Information Technology ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	18605852
Shares Outstanding: 107511000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Information Technology 25/50 Index
ETFdb.com Category: Technology Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VGT


Holding,Symbol,Weighting
Cree Inc,CREE,0.0582%
Integrated Device Technology Inc,IDTI,0.0576%
Ciena Corp,CIEN,0.0563%
Lumentum Holdings Inc,LITE,0.0554%
Mellanox Technologies Ltd,MLNX,0.0554%
Dolby Laboratories Inc,DLB,0.0551%
Science Applications International Corp,SAIC,0.0549%
CACI International Inc,CACI,0.0546%
Yelp Inc,YELP,0.0545%
HubSpot Inc,HUBS,0.0543%
ViaSat Inc,VSAT,0.0528%
Ellie Mae Inc,ELLI,0.0526%
NCR Corp,NCR,0.0516%
Conduent Inc,CNDT,0.0513%
Snap Inc,SNAP,0.0505%
SYNNEX Corp,SNX,0.0479%
RealPage Inc,RP,0.0476%
FireEye Inc,FEYE,0.0467%
Commvault Systems Inc,CVLT,0.0453%
Tech Data Corp,TECD,0.0447%
Manhattan Associates Inc,MANH,0.0443%
Zynga Inc,ZNGA,0.0432%
Twilio Inc,TWLO,0.043%
ACI Worldwide Inc,ACIW,0.0415%
Cabot Microelectronics Corp,CCMP,0.041%
Semtech Corp,SMTC,0.0409%
InterDigital Inc,IDCC,0.0405%
Box Inc,BOX,0.0404%
Verint Systems Inc,VRNT,0.0404%
Belden Inc,BDC,0.0402%
Etsy Inc,ETSY,0.0398%
Verifone Systems Inc,PAY,0.039%
Zillow Group Inc,ZG,0.0387%
Envestnet Inc,ENV,0.0381%
Pegasystems Inc,PEGA,0.0376%
EchoStar Corp,SATS,0.0374%
Cirrus Logic Inc,CRUS,0.0372%
II-VI Inc,IIVI,0.0369%
Advanced Energy Industries Inc,AEIS,0.0367%
Qualys Inc,QLYS,0.0364%
Blackhawk Network Holdings Inc,HAWK,0.0363%
New Relic Inc,NEWR,0.0363%
Vishay Intertechnology Inc,VSH,0.036%
Cornerstone OnDemand Inc,CSOD,0.0351%
Itron Inc,ITRI,0.0346%
Netscout Systems Inc,NTCT,0.0334%
Plantronics Inc,PLT,0.0332%
Convergys Corp,CVG,0.0331%
Viavi Solutions Inc,VIAV,0.0331%
Travelport Worldwide Ltd,TVPT,0.033%
Sanmina Corp,SANM,0.0329%
Acxiom Corp,ACXM,0.0312%
Rogers Corp,ROG,0.0306%
Power Integrations Inc,POWI,0.0302%
Ubiquiti Networks Inc,UBNT,0.03%
Novanta Inc,NOVT,0.0295%
Cars.com Inc,CARS,0.0293%
8x8 Inc,EGHT,0.0291%
Plexus Corp,PLXS,0.0288%
Brooks Automation Inc,BRKS,0.0287%
Finisar Corp,FNSR,0.0283%
Anixter International Inc,AXE,0.0278%
Exlservice Holdings Inc,EXLS,0.0274%
Infinera Corp,INFN,0.0272%
NETGEAR Inc,NTGR,0.0267%
Match Group Inc,MTCH,0.0264%
Pure Storage Inc,PSTG,0.0252%
TiVo Corp,TIVO,0.025%
Bottomline Technologies (DE) Inc,EPAY,0.0247%
Ambarella Inc,AMBA,0.0246%
Kulicke and Soffa Industries Inc,KLIC,0.0245%
Progress Software Corp,PRGS,0.0241%
GTT Communications Inc,GTT,0.024%
MaxLinear Inc,MXL,0.0239%
Ebix Inc,EBIX,0.0236%
Paylocity Holding Corp,PCTY,0.0231%
Q2 Holdings Inc,QTWO,0.0231%
Rambus Inc,RMBS,0.0229%
ManTech International Corp,MANT,0.0225%
Solaredge Technologies Inc,SEDG,0.0221%
Synaptics Inc,SYNA,0.022%
CSG Systems International Inc,CSGS,0.0219%
Trade Desk Inc,TTD,0.0217%
Five9 Inc,FIVN,0.0217%
Electronics for Imaging Inc,EFII,0.0214%
Methode Electronics Inc,MEI,0.0213%
Pandora Media Inc,P,0.0212%
Oclaro Inc,OCLR,0.0208%
Blackline Inc,BL,0.0204%
Benchmark Electronics Inc,BHE,0.0202%
Virtusa Corp,VRTU,0.0202%
Imperva Inc,IMPV,0.0198%
Coupa Software Inc,COUP,0.0196%
TTM Technologies Inc,TTMI,0.0192%
Insight Enterprises Inc,NSIT,0.019%
MINDBODY Inc,MB,0.0189%
Badger Meter Inc,BMI,0.0188%
Inphi Corp,IPHI,0.0184%
OSI Systems Inc,OSIS,0.0184%
Evertec Inc,EVTC,0.0183%
SPS Commerce Inc,SPSC,0.0183%
MicroStrategy Inc,MSTR,0.0181%
Fabrinet,FN,0.0178%
Diodes Inc,DIOD,0.0175%
Blucora Inc,BCOR,0.0175%
Knowles Corp,KN,0.0175%
Instructure Inc,INST,0.0174%
Xperi Corp,XPER,0.0174%
Cardtronics PLC,CATM,0.0173%
Cray Inc,CRAY,0.0173%
ePlus inc,PLUS,0.0171%
3D Systems Corp,DDD,0.0168%
Sykes Enterprises Inc,SYKE,0.0164%
Varonis Systems Inc,VRNS,0.0157%
Mitel Networks Corp,MITL,0.0152%
CTS Corp,CTS,0.0149%
Syntel Inc,SYNT,0.0147%
NIC Inc,EGOV,0.0146%
Fitbit Inc,FIT,0.0145%
MTS Systems Corp,MTSC,0.0144%
Quotient Technology Inc,QUOT,0.0143%
Amkor Technology Inc,AMKR,0.014%
ScanSource Inc,SCSC,0.0135%
KEMET Corp,KEM,0.0135%
Diebold Nixdorf Inc,DBD,0.0134%
Monotype Imaging Holdings Inc,TYPE,0.0133%
FormFactor Inc,FORM,0.0132%
Everbridge Inc,EVBG,0.0131%
Hortonworks Inc,HDP,0.0129%
FARO Technologies Inc,FARO,0.0129%
MACOM Technology Solutions Holdings Inc,MTSI,0.0129%
Rapid7 Inc,RPD,0.0129%
Shutterstock Inc,SSTK,0.0129%
Pros Holdings Inc,PRO,0.0127%
Perficient Inc,PRFT,0.0127%
LivePerson Inc,LPSN,0.0127%
Nanometrics Inc,NANO,0.0126%
Rudolph Technologies Inc,RTEC,0.0123%
Web.com Group Inc,WEB,0.0116%
Veeco Instruments Inc,VECO,0.0116%
AVX Corp,AVX,0.0115%
Cass Information Systems Inc,CASS,0.0113%
TrueCar Inc,TRUE,0.0112%
Apptio Inc,APTI,0.0111%
Axcelis Technologies Inc,ACLS,0.0111%
ADTRAN Inc,ADTN,0.011%
Super Micro Computer Inc,SMCI,0.0108%
Alarm.com Holdings Inc,ALRM,0.0108%
CEVA Inc,CEVA,0.0108%
CalAmp Corp,CAMP,0.0106%
Comtech Telecommunications Corp,CMTL,0.0104%
Xcerra Corp,XCRA,0.0102%
Ultra Clean Holdings Inc,UCTT,0.0101%
CommerceHub Inc,CHUBK,0.01%
Lattice Semiconductor Corp,LSCC,0.0096%
XO Group Inc,XOXO,0.0092%
Unisys Corp,UIS,0.0092%
Applied Optoelectronics Inc,AAOI,0.0085%
AppFolio Inc,APPF,0.0085%
Photronics Inc,PLAB,0.0082%
TTEC Holdings Inc,TTEC,0.0082%
Endurance International Group Holdings Inc,EIGI,0.0081%
Gogo Inc,GOGO,0.0081%
Acacia Communications Inc,ACIA,0.0081%
Workiva Inc,WK,0.008%
SunPower Corp,SPWR,0.0079%
Glu Mobile Inc,GLUU,0.0079%
Mesa Laboratories Inc,MLAB,0.0076%
Cision Ltd,CISN,0.0075%
VASCO Data Security International Inc,VDSI,0.0073%
Presidio Inc,PSDO,0.0073%
QAD Inc,QADA,0.0073%
Synchronoss Technologies Inc,SNCR,0.0072%
Net 1 UEPS Technologies Inc,UEPS,0.0072%
Tucows Inc,TCX,0.0072%
Systemax Inc,SYX,0.0071%
Benefitfocus Inc,BNFT,0.0069%
Kimball Electronics Inc,KE,0.0068%
Everi Holdings Inc,EVRI,0.0068%
Ichor Holdings Ltd,ICHR,0.0067%
