IEFA: iShares Core MSCI EAFE ETF
Inception Date: 2012-10-18
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	58547655
Shares Outstanding: 880000000
Expense Ratio: 0.08%
Tracks This Index: MSCI EAFE Investable Market Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/IEFA


Holding,Symbol,Weighting
Lafargeholcim Ltd,LHN,0.1424%
Tokyo Electron Ltd,8035,0.142%
Recruit Holdings Co Ltd,6098,0.142%
Fiat Chrysler Automobiles NV,FCA,0.1393%
Assicurazioni Generali SpA,G,0.1391%
Vonovia SE,VNA,0.1363%
E.ON SE,EOAN,0.1362%
Repsol SA,REP,0.1347%
Compagnie Generale des Etablissements Michelin SCA,ML,0.1327%
Sampo Oyj,SAMPO,0.132%
Nissan Motor Co Ltd,7201,0.1312%
Unibail Rodamco SE,UL,0.131%
Fast Retailing Co Ltd,FRCOF,0.1308%
Telefonaktiebolaget LM Ericsson,ERIC.B,0.1305%
ArcelorMittal SA,MT,0.1273%
Woodside Petroleum Ltd,WPL,0.1271%
Kirin Holdings Co Ltd,2503,0.1265%
Relx PLC,REL,0.1263%
Akzo Nobel NV,AKZA,0.126%
Fresenius Medical Care AG & Co KGaA,FME,0.125%
Capgemini SE,CAP,0.124%
WPP PLC,WPP,0.1235%
KBC Groep NV,KBC,0.1231%
SMC Corp,SMECF,0.123%
Bridgestone Corp,5108,0.123%
Mitsubishi Estate Co Ltd,8802,0.1227%
Henkel AG & Co KgaA,HEN3,0.1223%
Orix Corp,8591,0.122%
Legal & General Group PLC,LGEN,0.1216%
Sun Hung Kai Properties Ltd,16,0.1205%
Experian PLC,EXPN,0.1196%
Dai-ichi Life Holdings Inc,8750,0.1191%
Assa Abloy AB,ASSA.B,0.1188%
Singapore Telecommunications Ltd,Z74,0.1182%
Denso Corp,6902,0.1174%
Nidec Corp,6594,0.1163%
Relx NV,REN,0.116%
Renault SA,RNO,0.1156%
Nomura Holdings Inc,8604,0.114%
Mitsui Fudosan Co Ltd,8801,0.1136%
Hermes International SCA,RMS,0.112%
Legrand SA,LR,0.1114%
Transurban Group,TCL,0.1105%
JXTG Holdings Inc,5020,0.1102%
Daiwa House Industry Co Ltd,1925,0.1099%
UPM-Kymmene Oyj,UPM,0.1098%
Investor AB,INVE.B,0.1091%
Sandvik AB,SAND,0.1087%
Sky PLC,SKY,0.1086%
Sumitomo Corp,8053,0.1075%
Swedbank AB,SWED.A,0.1071%
London Stock Exchange Group PLC,LSE,0.1067%
Rolls-Royce Holdings PLC,RR.,0.1064%
Lonza Group AG,LONN,0.1059%
DNB ASA,DNB,0.1056%
SSE PLC,SSE,0.1051%
Daiichi Sankyo Co Ltd,4568,0.1047%
Ferguson Plc,FERG,0.1045%
Koninklijke DSM NV,DSM,0.1044%
Credit Agricole SA,ACA,0.1028%
Eisai Co Ltd,4523,0.1019%
Subaru Corp,7270,0.1018%
Caixabank SA,CABK,0.1015%
Japan Post Holdings Co Ltd,6178,0.1008%
Givaudan SA,GIVN,0.1005%
BOC Hong Kong Holdings Ltd,2388,0.0985%
Link Real Estate Investment Trust,823,0.0983%
Murata Manufacturing Co Ltd,6981,0.0982%
CK Asset Holdings Ltd,1113,0.0971%
Dassault Systemes SE,DSY,0.097%
Hang Seng Bank Ltd,11,0.0968%
Teva Pharmaceutical Industries Ltd,TEVA,0.0962%
Shiseido Co Ltd,4911,0.0961%
Old Mutual PLC,OML,0.0957%
Hong Kong and China Gas Co Ltd,3,0.0955%
Deutsche Wohnen SE,DWNI,0.0949%
Svenska Handelsbanken AB,SHB.A,0.0948%
Wirecard AG,WDI,0.0944%
Telenor ASA,TEL,0.0936%
Asahi Kasei Corp,3407,0.0931%
Kyocera Corp,6971,0.0923%
Scentre Group,SCG,0.0921%
Wolters Kluwer NV,WKL,0.0919%
Smith & Nephew PLC,SN.,0.0919%
Kerry Group PLC,KRZ,0.0917%
H & M Hennes & Mauritz AB,HM.B,0.0916%
Kone Oyj,KNEBV,0.0913%
Valeo SA,FR,0.0905%
Essity AB (publ),ESSITY.B,0.0887%
Ferrari NV,RACE,0.0884%
Atlantia SpA,ATL,0.0881%
Daikin Industries Ltd,6367,0.0875%
Geberit AG,GEBN,0.0875%
Kubota Corp,6326,0.0875%
Melrose Industries PLC,MRO,0.0861%
Publicis Groupe SA,PUB,0.0858%
Hexagon AB,HEXA.B,0.085%
Fujifilm Holdings Corp,4901,0.0847%
Abertis Infraestructuras SA,ABE,0.0844%
South32 Ltd,S32,0.084%
DSV A/S,DSV,0.084%
Terumo Corp,4543,0.0838%
Covestro AG,1COV,0.0834%
Erste Group Bank AG,EBS,0.0828%
STMicroelectronics NV,STM,0.0822%
Nippon Steel & Sumitomo Metal Corp,5401,0.0821%
NN Group NV,NN,0.0817%
Vestas Wind Systems A/S,VWS,0.0812%
HeidelbergCement AG,HEI,0.081%
Skandinaviska Enskilda Banken AB,SEB.A,0.0806%
Suzuki Motor Corp,7269,0.0804%
Insurance Australia Group Ltd,IAG,0.0802%
Hoya Corp,7741,0.0801%
Toshiba Corp,6502,0.08%
Aena SME SA,AENA,0.0797%
The Swatch Group AG,UHR,0.0797%
Daito Trust Construction Co Ltd,DITTF,0.0796%
Peugeot SA,UG,0.0791%
Atlas Copco AB,ATCO.B,0.0791%
Ashtead Group PLC,AHT,0.0788%
Mitsubishi Chemical Holdings Corp,4188,0.0787%
CLP Holdings Ltd,2,0.0781%
Otsuka Holdings Co Ltd,4578,0.0776%
Commerzbank AG,CBK,0.0775%
Shionogi & Co Ltd,4507,0.0775%
Westfield Corp,WFD,0.0766%
Thales SA,HO,0.0766%
Asahi Group Holdings Ltd,2502,0.0765%
Toray Industries Inc,3402,0.0761%
Porsche Automobil Holding SE,PAH3,0.076%
Nitori Holdings Co Ltd,9843,0.0758%
Telia Company AB,TELIA,0.0757%
Suncorp Group Ltd,SUN,0.0756%
MS&AD Insurance Group Holdings Inc,8725,0.0753%
Oriental Land Co Ltd,4661,0.0752%
Royal Bank of Scotland Group PLC,RBS,0.0746%
ABN AMRO Group NV,ABN,0.0743%
Julius Baer Gruppe AG,BAER,0.0742%
Fanuc Corp,FANUF,0.0737%
Standard Life Aberdeen PLC,SLA,0.0734%
Origin Energy Ltd,ORG,0.0725%
Associated British Foods PLC,ABF,0.0724%
Sands China Ltd,1928,0.072%
Aegon NV,AGN,0.0719%
Shin-Etsu Chemical Co Ltd,SHECF,0.0715%
Partners Group Holding AG,PGHN,0.0715%
Check Point Software Technologies Ltd,CHKP,0.0714%
CNH Industrial NV,CNHI,0.071%
Orsted A/S,ORSTED,0.0704%
Henkel AG & Co KgaA,HEN,0.0703%
3i Group PLC,III,0.0699%
RWE AG,RWE,0.0697%
Merck KGaA,MRK,0.0693%
Goodman Group Pty Ltd,GMG,0.0692%
Atos SE,ATO,0.0686%
Sumitomo Realty & Development Co Ltd,SURDF,0.0681%
Newcrest Mining Ltd,NCM,0.068%
Galaxy Entertainment Group Ltd,27,0.068%
Marubeni Corp,8002,0.068%
Pandora A/S,PNDORA,0.0676%
Heineken Holding NV,HEIO,0.0671%
Inpex Corp,1605,0.067%
Resona Holdings Inc,8308,0.0666%
Brambles Ltd,BXB,0.0663%
Umicore SA,UMI,0.0663%
TDK Corp,6762,0.0661%
Carnival PLC,CCL,0.066%
Centrica PLC,CNA,0.066%
Telecom Italia SpA,TIT,0.0654%
Sysmex Corp,6869,0.0652%
Amcor Ltd,AMC,0.0651%
Carrefour SA,CA,0.0651%
Aristocrat Leisure Ltd,ALL,0.0648%
Genmab A/S,GEN,0.0648%
Daikin Industries Ltd,DKILF,0.0647%
Carlsberg A/S,CARL.B,0.0644%
Persimmon PLC,PSN,0.0642%
Thyssenkrupp AG,TKA,0.0641%
AGL Energy Ltd,AGL,0.0639%
Stora Enso Oyj,STERV,0.0638%
Veolia Environnement SA,VIE,0.0634%
Sumitomo Mitsui Trust Holdings Inc,8309,0.0633%
Sompo Holdings Inc,8630,0.063%
InterContinental Hotels Group PLC,IHG,0.0628%
Unicharm Corp,8113,0.0627%
Swisscom AG,SCMN,0.0623%
Nidec Corp,NDCOF,0.0615%
Ferrovial SA,FER,0.0613%
Bouygues SA,EN,0.0613%
Snam SpA,SRG,0.0611%
Novozymes A/S,NZYM.B,0.0609%
Burberry Group PLC,BRBY,0.0608%
Adecco Group AG,ADEN,0.0606%
Swiss Life Holding AG,SLHN,0.0605%
Beiersdorf AG,BEI,0.0604%
ACS Actividades de Construccion y Servicios SA,ACS,0.06%
Banco de Sabadell SA,SAB,0.0594%
Accor SA,AC,0.0594%
Aeon Co Ltd,8267,0.0592%
Luxottica Group SpA,LUX,0.0592%
Nitto Denko Corp,6988,0.0592%
Intertek Group PLC,ITRK,0.059%
Mitsubishi Heavy Industries Ltd,7011,0.059%
Treasury Wine Estates Ltd,TWE,0.0587%
Whitbread PLC,WTB,0.0586%
QBE Insurance Group Ltd,QBE,0.0585%
Neste Oyj,NESTE,0.0584%
Mondi PLC,MNDI,0.0584%
Next PLC,NXT,0.0584%
Koninklijke KPN NV,KPN,0.0583%
Sumitomo Electric Industries Ltd,5802,0.0582%
Shimano Inc,SHMDF,0.0576%
Solvay SA,SOLB,0.0571%
Fortum Oyj,FORTUM,0.057%
Smurfit Kappa Group PLC,SK3,0.0568%
Secom Co Ltd,9735,0.0566%
Coloplast A/S,COLO.B,0.0563%
Telstra Corporation Ltd,TLS,0.0558%
Tui AG,TUI,0.0558%
Power Assets Holdings Ltd,6,0.0557%
Symrise AG,SY1,0.0553%
Ageas SA,AGS,0.0552%
Ajinomoto Co Inc,2802,0.0551%
Olympus Corp,7733,0.055%
West Japan Railway Co,9021,0.055%
SGS SA,SGSN,0.0548%
Sika AG,SIK,0.0547%
Bunzl plc,BNZL,0.0546%
Meiji Holdings Co Ltd,2269,0.0546%
Boliden AB,BOL,0.0546%
Ucb SA,UCB,0.0537%
OMV AG,OMV,0.0535%
Teleperformance SE,TEP,0.0535%
Land Securities Group PLC,LAND,0.0534%
Sage Group PLC,SGE,0.0533%
Kansai Electric Power Co Inc,9503,0.0531%
Galp Energia SGPS SA,GALP,0.0528%
Tenaris SA,TEN,0.0526%
Wartsila Oyj Abp,WRT1V,0.0523%
Ono Pharmaceutical Co Ltd,4528,0.0522%
Santos Ltd,STO,0.0519%
MTU Aero Engines AG,MTX,0.0517%
Pearson PLC,PSON,0.0514%
WH Group Ltd,288,0.0509%
AMP Ltd,AMP,0.0509%
Sodexo SA,SW,0.0507%
Arkema SA,AKE,0.0505%
T&D Holdings Inc,8795,0.0504%
Bank Leumi Le Israel BM,LUMI,0.0503%
Chr Hansen Holding A/S,CHR,0.0502%
Wharf Real Estate Investment Company Ltd,1997,0.0501%
Hongkong Land Holdings Ltd,H78,0.0497%
Gas Natural SDG SA,GAS,0.0496%
RSA Insurance Group PLC,RSA,0.0495%
Marine Harvest ASA,MHG,0.0494%
Red Electrica Corporacion SA,REE,0.0493%
Grifols SA,GRF,0.0491%
Sika AG,SKFOF,0.0491%
United Internet AG,UTDI,0.049%
Kajima Corp,KAJMF,0.049%
Johnson Matthey PLC,JMAT,0.0489%
DCC PLC,DCC,0.0489%
Brenntag AG,BNR,0.0484%
Eiffage SA,FGR,0.0483%
Kingfisher PLC,KGF,0.0483%
Kinnevik AB,KINV.B,0.0482%
AP Moeller - Maersk A/S,MAERSK.B,0.0482%
JFE Holdings Inc,5411,0.0482%
Terna Rete Elettrica Nazionale SpA,TRN,0.0481%
ASX Ltd,ASX,0.0479%
EDP Energias de Portugal SA,EDP,0.0479%
Chubu Electric Power Co Inc,9502,0.0478%
Taylor Wimpey PLC,TW.,0.0477%
Oil Search Ltd,OSH,0.0477%
Sonova Holding AG,SOON,0.0477%
