Symbol,Name,Last,Name,Exchange,Industry,Sector,"ETF Full Name","Fund Family","Asset Class","Contract Name"
GOOG,"Alphabet Class C",1048.21,"Alphabet Class C",NASDAQ,"Internet - Services","Computers and Technology",N/A,N/A,N/A,N/A
GOOGL,"Alphabet Class A",1051,"Alphabet Class A",NASDAQ,"Internet - Services","Computers and Technology",N/A,N/A,N/A,N/A
HAS,"Hasbro Inc",86.87,"Hasbro Inc",NASDAQ,"Toys & Game & Hobby","Consumer Discretionary",N/A,N/A,N/A,N/A
HOLX,"Hologic Inc",37.93,"Hologic Inc",NASDAQ,"Medical Instruments",Medical,N/A,N/A,N/A,N/A
HSIC,"Henry Schein Inc",75.55,"Henry Schein Inc",NASDAQ,"Medical - Dental Suppliers",Medical,N/A,N/A,N/A,N/A
IDXX,"Idexx Laboratories",212.2,"Idexx Laboratories",NASDAQ,"Medical Instruments",Medical,N/A,N/A,N/A,N/A
ILMN,"Illumina Inc",244.82,"Illumina Inc",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
INCY,"Incyte Corp",62.13,"Incyte Corp",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
INTC,"Intel Corp",52.78,"Intel Corp",NASDAQ,"Semi General","Computers and Technology",N/A,N/A,N/A,N/A
INTU,"Intuit Inc",189.45,"Intuit Inc",NASDAQ,"Computer - Software","Computers and Technology",N/A,N/A,N/A,N/A
ISRG,"Intuitive Surg Inc",460.42,"Intuitive Surg Inc",NASDAQ,"Medical Instruments",Medical,N/A,N/A,N/A,N/A
JBHT,"J B Hunt Transport",117.42,"J B Hunt Transport",NASDAQ,"Transportation - Truck",Transportation,N/A,N/A,N/A,N/A
JD,"Jd.Com Inc Ads",37.67,"Jd.Com Inc Ads",NASDAQ,"Internet Commerce",Retail-Wholesale,N/A,N/A,N/A,N/A
KHC,"Kraft Heinz Co",58.01,"Kraft Heinz Co",NASDAQ,"Food - Misc & Diversified","Consumer Staples",N/A,N/A,N/A,N/A
KLAC,"K L A-Tencor Corp",106.66,"K L A-Tencor Corp",NASDAQ,"Semi-Eqpt Wafer Fabrication","Computers and Technology",N/A,N/A,N/A,N/A
LBTYA,"Liberty Global Ord A",31.75,"Liberty Global Ord A",NASDAQ,"Cable TV","Consumer Discretionary",N/A,N/A,N/A,N/A
LBTYK,"Liberty Global Ord C",30.51,"Liberty Global Ord C",NASDAQ,"Broadcast - Radio & TV","Consumer Discretionary",N/A,N/A,N/A,N/A
LRCX,"Lam Research Corp",195.47,"Lam Research Corp",NASDAQ,"Semi-Eqpt Wafer Fabrication","Computers and Technology",N/A,N/A,N/A,N/A
MAR,"Marriot Int Class A",135.85,"Marriot Int Class A",NASDAQ,"Hotels & Motels","Consumer Discretionary",N/A,N/A,N/A,N/A
MCHP,"Microchip Technology",87.51,"Microchip Technology",NASDAQ,"Semi Analog & Mixed","Computers and Technology",N/A,N/A,N/A,N/A
MDLZ,"Mondelez Intl Cmn A",38.9,"Mondelez Intl Cmn A",NASDAQ,"Food - Misc & Diversified","Consumer Staples",N/A,N/A,N/A,N/A
MELI,"Mercadolibre Inc",329.97,"Mercadolibre Inc",NASDAQ,"Internet Commerce",Retail-Wholesale,N/A,N/A,N/A,N/A
MNST,"Monster Beverage Cp",52.76,"Monster Beverage Cp",NASDAQ,"Beverages - Soft","Consumer Staples",N/A,N/A,N/A,N/A
MSFT,"Microsoft Corp",95.16,"Microsoft Corp",NASDAQ,"Computer - Software","Computers and Technology",N/A,N/A,N/A,N/A
MU,"Micron Technology",47.58,"Micron Technology",NASDAQ,"Semi Memory","Computers and Technology",N/A,N/A,N/A,N/A
MXIM,"Maxim Integrated",56,"Maxim Integrated",NASDAQ,"Semi Analog & Mixed","Computers and Technology",N/A,N/A,N/A,N/A
MYL,"Mylan Nv Ord Shs",35.98,"Mylan Nv Ord Shs",NASDAQ,"Medical - Generic Drugs",Medical,N/A,N/A,N/A,N/A
NFLX,"Netflix Inc",320.09,"Netflix Inc",NASDAQ,"Broadcast - Radio & TV","Consumer Discretionary",N/A,N/A,N/A,N/A
NTES,"Netease Inc Ads",251.57,"Netease Inc Ads",NASDAQ,"Internet Software Services","Computers and Technology",N/A,N/A,N/A,N/A
NVDA,"Nvidia Corp",239.06,"Nvidia Corp",NASDAQ,"Semi General","Computers and Technology",N/A,N/A,N/A,N/A
ORLY,"O'Reilly Automotive",259.51,"O'Reilly Automotive",NASDAQ,"Retail - Wholesale Auto Parts",Retail-Wholesale,N/A,N/A,N/A,N/A
PAYX,"Paychex Inc",62.41,"Paychex Inc",NASDAQ,Outsourcing,"Business Services",N/A,N/A,N/A,N/A
PCAR,"Paccar Inc",63.8,"Paccar Inc",NASDAQ,"Auto - Domestic",Auto-Tires-Trucks,N/A,N/A,N/A,N/A
PYPL,"Paypal Holdings",73.99,"Paypal Holdings",NASDAQ,"Internet - Software","Computers and Technology",N/A,N/A,N/A,N/A
QCOM,"Qualcomm Inc",52.49,"Qualcomm Inc",NASDAQ,"Wireless Equipment","Computers and Technology",N/A,N/A,N/A,N/A
QRTEA,"Liberty Int Qvc Sr A",23.75,"Liberty Int Qvc Sr A",NASDAQ,"Internet Commerce",Retail-Wholesale,N/A,N/A,N/A,N/A
REGN,"Regeneron Pharmaceutical",291.25,"Regeneron Pharmaceutical",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
ROST,"Ross Stores Inc",80.71,"Ross Stores Inc",NASDAQ,"Retail - Discount",Retail-Wholesale,N/A,N/A,N/A,N/A
SBUX,"Starbucks Corp",57.68,"Starbucks Corp",NASDAQ,"Retail - Restaurants",Retail-Wholesale,N/A,N/A,N/A,N/A
SHPG,"Shire Plc Ads",157.73,"Shire Plc Ads",NASDAQ,"Medical - Drugs",Medical,N/A,N/A,N/A,N/A
SIRI,"Sirius XM Holdings I",6.67,"Sirius XM Holdings I",NASDAQ,"Broadcast - Radio & TV","Consumer Discretionary",N/A,N/A,N/A,N/A
SNPS,"Synopsys Inc",87.72,"Synopsys Inc",NASDAQ,"Computer - Software","Computers and Technology",N/A,N/A,N/A,N/A
