VWO: Vanguard FTSE Emerging Markets ETF
Inception Date: 2005-03-10
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	66601919
Shares Outstanding: 1465390000
Expense Ratio: 0.14%
Tracks This Index: FTSE Emerging Index
ETFdb.com Category: Emerging Markets Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VWO


Holding,Symbol,Weighting
Bidvest Group Ltd,BVT,0.1319%
Magnit PAO,MGNT,0.1305%
Ultrapar Participacoes SA,UGPA3,0.13%
Taiwan Cooperative Financial Holding Co Ltd,5880,0.1286%
58.com Inc,WUBA,0.1285%
Mr Price Group Ltd,MRP,0.128%
PTT Exploration and Production PCL,PTTEP,0.1273%
Ping An Insurance Group Co of China Ltd,601318,0.127%
ANTA Sports Products Ltd,2020,0.1269%
Central Pattana PCL,CPN,0.1267%
NK Rosneft' PAO,ROSN,0.1266%
China Telecom Corp Ltd,728,0.1265%
Hua Nan Financial Holdings Co Ltd,2880,0.126%
Vedanta Ltd,SSLT,0.1259%
Vodacom Group Ltd,VOD,0.1254%
Sociedad Quimica y Minera de Chile SA,SQM,0.1232%
Taiwan Mobile Co Ltd,3045,0.1227%
Catcher Technology Co Ltd,2474,0.1227%
Vipshop Holdings Ltd,VIPS,0.1206%
China Shenhua Energy Co Ltd,1088,0.1205%
Shenzhou International Group Holdings Ltd,2313,0.1201%
Lojas Renner SA,LREN3,0.1192%
Bancolombia SA,BCOLOMBIA,0.1189%
Empresas Copec SA,COPEC,0.1182%
E.SUN Financial Holding Co Ltd,2884,0.1152%
Kweichow Moutai Co Ltd,600519,0.1152%
Tsingtao Brewery Co Ltd,168,0.1146%
Powszechny Zaklad Ubezpieczen SA,PZU,0.1143%
Larsen & Toubro Ltd,LT,0.1132%
First Financial Holding Co Ltd,2892,0.113%
China Merchants Bank Co Ltd,600036,0.1122%
Indiabulls Housing Finance Ltd,IBULHSGFIN,0.1121%
Commercial International Bank Egypt SAE,COMI,0.1107%
Eicher Motors Ltd,EIM,0.1103%
President Chain Store Corp,2912,0.1085%
PTT Global Chemical PCL,PTTGC,0.1083%
Growthpoint Properties Ltd,GRT,0.1082%
Enel Americas SA,ENIA,0.1076%
SACI Falabella,FALABELLA,0.1076%
Bangkok Dusit Medical Services PCL,BDMS,0.1071%
Cielo SA,CIEL3,0.1067%
Far Eastern New Century Corp,1402,0.1053%
Kroton Educacional SA,KROT3,0.105%
Suzano Papel e Celulose SA,SUZB3,0.1049%
Tata Motors Ltd,TTMT,0.1041%
Beigene Ltd,BGNE,0.1034%
Bharat Petroleum Corporation Ltd,BPCL,0.1032%
PETRONAS Chemicals Group Bhd,PCHEM,0.1032%
Asustek Computer Inc,2357,0.1028%
China Gas Holdings Ltd,384,0.1027%
ENN Energy Holdings Ltd,2688,0.1027%
Guangdong Investment Ltd,270,0.1026%
China Conch Venture Holdings Ltd,586,0.1015%
Anhui Conch Cement Co Ltd,914,0.1013%
Axiata Group Bhd,AXIATA,0.0997%
Sinopac Financial Holdings Co Ltd,2890,0.0985%
SM Prime Holdings Inc,SMPH,0.0983%
Hero MotoCorp Ltd,HEROMOTOCO,0.0965%
Emaar Properties PJSC,EMAAR,0.0948%
Asian Paints Ltd,APNT,0.0947%
Lojas Americanas SA,LAME4,0.0945%
Coal India Ltd,COAL,0.0944%
China Resources Beer Holdings Co Ltd,291,0.0939%
China Development Financial Holding Corp,2883,0.0936%
Fosun International Ltd,656,0.0934%
Ayala Land Inc,ALI,0.0932%
Bank Polska Kasa Opieki SA,PEO,0.0924%
Grasim Industries Ltd,GRASIM,0.0923%
Indian Oil Corpn Ltd,IOCL,0.0922%
Banco Santander Brasil SA,SANB11,0.0912%
Yuanta Financial Holdings Co Ltd,2885,0.0911%
Taishin Financial Holding Co Ltd,2887,0.0908%
Tiger Brands Ltd,TBS,0.0904%
Taiwan Cement Corp,1101,0.0903%
JSW Steel Ltd,JSWSTEEL,0.0899%
BDO Unibank Inc,BDO,0.0897%
SINOPHARM GROUP CO LTD,1099,0.0893%
Ecopetrol SA,EC,0.0889%
LATAM Airlines Group SA,LTM,0.0888%
Formosa Petrochemical Corp,6505,0.0884%
China Taiping Insurance Holdings Co Ltd,966,0.0884%
Chang Hwa Commercial Bank Ltd,2801,0.0882%
Genting Bhd,GENTING,0.088%
Telefonica Brasil SA,VIV,0.0875%
Zee Entertainment Enterprises Ltd,Z,0.0875%
Sime Darby Plantation Bhd,SIMEPLT,0.0873%
Banco Santander-Chile,BSAC,0.0873%
UltraTech Cement Ltd,UTCEM,0.0872%
Turkiye Garanti Bankasi AS,GARAN,0.0869%
Woolworths Holdings Ltd,WHL,0.0861%
Far EasTone Telecommunications Co Ltd,4904,0.086%
Redefine Properties Ltd,RDF,0.0858%
Fibria Celulose SA,FBR,0.0858%
Nedbank Group Ltd,NED,0.0857%
WIN Semiconductors Corp,3105,0.0855%
MOL Plc,MOL,0.0854%
BB Seguridade Participacoes SA,BBSE3,0.0849%
Klabin SA,KLBN11,0.0847%
China Resources Power Holdings Co Ltd,836,0.0844%
Transneft' PAO,TRNFP,0.0843%
China Minsheng Banking Corp Ltd,600016,0.0841%
Lenovo Group Ltd,992,0.0841%
Industries Qatar QSC,IQCD,0.0831%
Fibra Uno Administracion SA de CV,FUNO11,0.0831%
Gerdau SA,GGB,0.0827%
Bajaj Finance Ltd,BAJFINANCE,0.0819%
Longfor Properties Co Ltd,960,0.0818%
Raia Drogasil SA,RADL3,0.0816%
China Resources Gas Group Ltd,1193,0.0809%
China Medical System Holdings Ltd,867,0.0809%
China First Capital Group Ltd,1269,0.0806%
Embraer SA,ERJ,0.0803%
Titan Company Ltd,TTAN,0.08%
Chailease Holding Co Ltd,5871,0.0799%
Guangzhou Automobile Group Co Ltd,2238,0.0795%
CITIC Securities Co Ltd,6030,0.0793%
NTPC Ltd,NTPC,0.0789%
Minor International PCL,MINT,0.0788%
Discovery Ltd,DSY,0.0787%
Pegatron Corp,4938,0.0785%
Brilliance China Automotive Holdings Ltd,1114,0.0783%
Rumo SA,RAIL3,0.0777%
Clicks Group Ltd,CLS,0.0767%
BRF SA,BRFS,0.0764%
DiGi.Com Bhd,DIGI,0.0763%
IOI Corporation Bhd,IOICORP,0.0762%
CRRC Corp Ltd,601766,0.0762%
Walsin Technology Corp,2492,0.0759%
Grupo Bimbo SAB de CV,BIMBOA,0.0757%
Empresas CMPC SA,CMPC,0.0757%
Inventec Corp,2356,0.0756%
Postal Savings Bank of China Co Ltd,1658,0.0752%
Autohome Inc,ATHM,0.0751%
Mobil'nye Telesistemy PAO,MTSS,0.0751%
UPL Ltd,UPLL,0.0751%
China Longyuan Power Group Corp Ltd,916,0.0749%
Bharti Infratel Ltd,BHIN,0.0748%
China National Building Material Co Ltd,3323,0.0746%
China Everbright International Ltd,257,0.0746%
Haier Electronics Group Co Ltd,1169,0.0744%
Bank Negara Indonesia (Persero) Tbk PT,BBNI,0.0743%
Advantech Co Ltd,2395,0.074%
Ayala Corp,AC,0.0737%
Godrej Consumer Products Ltd,GCPL,0.073%
Genscript Biotech Corp,1548,0.0728%
Dongfeng Motor Group Co Ltd,489,0.0724%
Companhia Brasileira de Distribuicao,PCAR4,0.0723%
BIM Birlesik Magazalar AS,BIMAS,0.0723%
Bank VTB PAO,VTBR,0.0723%
WEG SA,WEGE3,0.0723%
China Vanke Co Ltd,000002,0.0716%
Shriram Transport Finance Company Ltd,SHTF,0.0714%
People's Insurance Group of China Co Ltd,1339,0.071%
AngloGold Ashanti Ltd,ANG,0.0709%
Asia Cement Corp,1102,0.0708%
Akbank TAS,AKBNK,0.0705%
IHH Healthcare Bhd,IHH,0.0703%
CCR SA,CCRO3,0.0696%
Grupo de Inversiones Suramericana SA,GRUPOSURA,0.0695%
Cencosud SA,CENCOSUD,0.0693%
CITIC Securities Co Ltd,600030,0.0693%
Great Wall Motor Co Ltd,2333,0.0689%
CGN Power Co Ltd,1816,0.0688%
PetroChina Co Ltd,601857,0.0683%
Rmb Holdings Ltd,RMH,0.0679%
ZTO Express (Cayman) Inc,ZTO,0.0679%
Adani Ports and Special Economic Zone Ltd,ADSEZ,0.0677%
Fullshare Holdings Ltd,607,0.0676%
KGHM Polska Miedz SA,KGH,0.0674%
Dialog Group Bhd,DIALOG,0.0674%
Abu Dhabi Commercial Bank PJSC,ADCB,0.0674%
Acer Inc,2353,0.0672%
Foschini Group Ltd,TFG,0.0671%
Grupo Aeroportuario del Pacifico SAB de CV,GAPB,0.067%
Banco de Chile,CHILE,0.0669%
Wipro Ltd,WIT,0.0668%
Localiza Rent a Car SA,RENT3,0.0667%
Winbond Electronics Corp,2344,0.0667%
China Cinda Asset Management Co Ltd,1359,0.0665%
Alfa SAB de CV,ALFAA,0.0662%
Masraf Al Rayan QPSC,MARK,0.0661%
Capitec Bank Holdings Ltd,CPI,0.0661%
Kingsoft Corp Ltd,3888,0.0661%
Petronas Gas Bhd,PETGAS,0.066%
Equatorial Energia SA,EQTL3,0.0658%
Maxis Bhd,MAXIS,0.0658%
United Tractors Tbk PT,UNTR,0.0654%
AU Optronics Corp,AUO,0.0653%
Kingboard Chemical Holdings Ltd,148,0.0653%
Sappi Ltd,SAP,0.0651%
Netcare Ltd,NTC,0.0649%
Alpha Bank SA,ALPHA,0.0649%
NEPI Rockcastle PLC,NRP,0.0646%
Bank of the Philippine Islands,BPI,0.0644%
Turkcell Iletisim Hizmetleri AS,TCELL,0.0642%
Genting Malaysia Bhd,GENM,0.0642%
Krung Thai Bank PCL,KTB-F,0.064%
Bajaj Auto Ltd,BJAUT,0.0639%
Guotai Junan Securities Co Ltd,601211,0.0637%
DP World Ltd,DPW,0.0637%
Beijing Enterprises Water Group Ltd,371,0.0636%
Hellenic Telecommunications Organization SA,HTO,0.0635%
Truworths International Ltd,TRU,0.0634%
Huatai Securities Co Ltd,601688,0.0632%
China Jinmao Holdings Group Ltd,817,0.063%
Shanghai Pharmaceuticals Holding Co Ltd,2607,0.063%
AK Alrosa PAO,ALRS,0.063%
China Petroleum & Chemical Corp,600028,0.0628%
Weichai Power Co Ltd,2338,0.0628%
Grupo Financiero Inbursa SAB de CV,GFINBURO,0.0626%
Jiangsu Expressway Co Ltd,177,0.0625%
Tim Participacoes SA,TIMP3,0.0622%
YY Inc,YY,0.062%
Bank of Communications Co Ltd,601328,0.0619%
Zijin Mining Group Co Ltd,601899,0.0619%
Companhia de Saneamento Basico do Estado de Sao Paulo - SABESP,SBS,0.0618%
TravelSky Technology Ltd,696,0.0615%
Unilever Indonesia Tbk PT,UNVR,0.0615%
Grupo Aeroportuario del Sureste SAB de CV,ASURB,0.0613%
China Railway Construction Corp Ltd,601186,0.0612%
Tech Mahindra Ltd,TECHM,0.0608%
Shimao Property Holdings Ltd,813,0.0607%
Eregli Demir ve Celik Fabrikalari TAS,EREGL,0.0607%
Nestle India Ltd,NEST,0.0606%
Beijing Capital International Airport Co Ltd,694,0.0599%
Life Healthcare Group Holdings Ltd,LHC,0.0598%
Byd Co Ltd,002594,0.0595%
Banco de Credito e Inversiones,BCI,0.0592%
Taiwan High Speed Rail Corp,2633,0.0589%
United Spirits Ltd,UNSP,0.0589%
Huaneng Power International Inc,902,0.0589%
China Life Insurance Co Ltd,601628,0.0588%
SPAR Group Ltd,SPP,0.0588%
PLDT Inc,TEL,0.0586%
Chroma ATE Inc,2360,0.0584%
Shanghai Industrial Holdings Ltd,363,0.0583%
LPP SA,LPP,0.0582%
Gold Fields Ltd,GFI,0.0579%
Zhuzhou CRRC Times Electric Co Ltd,3898,0.0579%
True Corporation PCL,TRUE,0.0579%
Komercni Banka as,KOMB,0.0578%
Sinopec Shanghai Petrochemical Co Ltd,338,0.0577%
Turkiye Petrol Rafinerileri AS,TUPRS,0.0576%
China Everbright Bank Co Ltd,601818,0.0575%
Hypera SA,HYPE3,0.0575%
Weibo Corp,WB,0.0574%
China Vanke Co Ltd,2202,0.0572%
Kunlun Energy Company Ltd,135,0.0571%
Huaneng Renewables Corp Ltd,958,0.057%
Lite-On Technology Corp,2301,0.0569%
Kuala Lumpur Kepong Bhd,KLK,0.0567%
Air China Ltd,601111,0.0566%
Yanzhou Coal Mining Co Ltd,1171,0.0564%
Motherson Sumi Systems Ltd,MSS,0.0562%
Avi Ltd,AVI,0.0562%
51job Inc,JOBS,0.0562%
China State Construction International Holdings Ltd,3311,0.056%
Fuyao Glass Industry Group Co Ltd,600660,0.0558%
New China Life Insurance Co Ltd,1336,0.0557%
Giant Manufacturing Co Ltd,9921,0.0556%
Gamuda Bhd,GAMUDA,0.0556%
Pou Chen Corp,9904,0.0555%
Beijing Enterprises Holdings Ltd,392,0.0554%
Richter Gedeon Vegyeszeti Gyar Nyrt,RICHTER,0.0553%
Cipla Ltd,CIPLA,0.0553%
Hindalco Industries Ltd,HNDL,0.0553%
China Pacific Insurance Group Co Ltd,601601,0.055%
Moskovskaya Birzha MMVB-RTS PAO,MOEX,0.055%
Mondi Ltd,MND,0.0549%
Foxconn Technology Co Ltd,2354,0.0548%
Mexichem SAB de CV,MEXCHEM*,0.0548%
Anhui Conch Cement Co Ltd,600585,0.0542%
GF Securities Co Ltd,000776,0.054%
Piramal Enterprises Ltd,PIEL,0.0539%
Shenzhen Investment Ltd,604,0.0538%
Aboitiz Equity Ventures Inc,AEV,0.0536%
PPB Group Bhd,PPB,0.0532%
China Resources Pharmaceutical Group Ltd,3320,0.053%
Guangzhou R&F Properties Co Ltd,2777,0.0529%
Innolux Corp,3481,0.0529%
Wistron Corp,3231,0.0528%
Ambuja Cements Ltd,ACEM,0.0528%
BR Malls Participacoes SA,BRML3,0.0526%
Hong Leong Bank Bhd,HLBANK,0.0526%
China Shenhua Energy Co Ltd,601088,0.0524%
Ashok Leyland Ltd,AL,0.0524%
Cheng Shin Rubber Ind. Co Ltd,2105,0.0523%
Moneta Money Bank as,MONET,0.0521%
CIFI Holdings Group Co Ltd,884,0.0519%
Dr.Reddy's Laboratories Ltd,RDY,0.0519%
Thai Oil PCL,TOP,0.0517%
Chinasoft International Ltd,354,0.0517%
Imperial Holdings Ltd,IPL,0.0516%
Polskie Gornictwo Naftowe i Gazownictwo SA,PGN,0.0515%
China Construction Bank Corp,601939,0.0515%
Lupin Ltd,LPC,0.0514%
Dabur India Ltd,DABUR,0.0513%
Aurobindo Pharma Ltd,ARBP,0.0511%
Momo Inc,MOMO,0.0509%
Divi's Laboratories Ltd,DIVI,0.0508%
Hangzhou Hikvision Digital Technology Co Ltd,002415,0.0506%
Compal Electronics Inc,2324,0.0505%
Bank Zachodni WBK SA,BZW,0.0504%
China Communications Construction Co Ltd,601800,0.0503%
China Lesso Group Holdings Ltd,2128,0.0503%
China Southern Airlines Co Ltd,600029,0.0502%
Wuxi Biologics Cayman Inc,2269,0.05%
Sohu.Com Inc,SOHU,0.05%
Industrial Bank Co Ltd,601166,0.0499%
Merida Industry Co Ltd,9914,0.0499%
China Galaxy Securities Co Ltd,6881,0.0498%
Severstal' PAO,SVST,0.0496%
Sino-American Silicon Products Inc,5483,0.0495%
Macronix International Co Ltd,2337,0.0495%
Barloworld Ltd,BAW,0.0495%
Gruma SAB de CV,GRUMAB,0.0494%
Nine Dragons Paper Holdings Ltd,2689,0.0494%
3SBio Inc,1530,0.0494%
Intouch Holdings PCL,INTUCH-R,0.0494%
Metropolitan Bank and Trust Co,MBT,0.0492%
Feng Tay Enterprises Co Ltd,9910,0.049%
China Merchants Port Holdings Co Ltd,144,0.0489%
East Money Information Co Ltd,300059,0.0489%
Lee & Man Paper Manufacturing Ltd,2314,0.0488%
China Railway Group Ltd,601390,0.0488%
Shanghai Fosun Pharmaceutical Group Co Ltd,600196,0.0487%
Hindustan Petroleum Corp Ltd,HPCL,0.0487%
PSG Group Ltd,PSG,0.0486%
Banco Bradesco SA,BBDC3,0.0485%
China Lodging Group Ltd,HTHT,0.0485%
Hota Industrial Mfg. Co Ltd,1536,0.0484%
Bajaj Finserv Ltd,BJFIN,0.0483%
CEZ as,CEZ,0.048%
Federal Bank Ltd,FB,0.0479%
Inner Mongolia Yili Industrial Group Co Ltd,600887,0.0479%
Shenzhen International Holdings Ltd,152,0.0479%
Coca-Cola Femsa SAB de CV,KOFL,0.0477%
Zhongsheng Group Holdings Ltd,881,0.0476%
Koc Holding AS,KCHOL,0.0475%
China Everbright Ltd,165,0.0474%
Jiangxi Copper Co Ltd,358,0.0474%
Synnex Technology International Corp,2347,0.0474%
Greek Organisation of Football Prognostics SA,OPAP,0.0473%
China Life Insurance Co Ltd,2823,0.0471%
