IWF: iShares Russell 1000 Growth ETF
Inception Date: 2000-05-22
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	39938206
Shares Outstanding: 292400000
Expense Ratio: 0.2%
Tracks This Index: Russell 1000 Growth Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/IWF


Holding,Symbol,Weighting
Digital Realty Trust Inc,DLR,0.1265%
CBS Corp,CBS,0.1255%
KLA-Tencor Corp,KLAC,0.1242%
Citrix Systems Inc,CTXS,0.1223%
Xilinx Inc,XLNX,0.1211%
TD Ameritrade Holding Corp,AMTD,0.1198%
Maxim Integrated Products Inc,MXIM,0.1188%
NetApp Inc,NTAP,0.1184%
Wynn Resorts Ltd,WYNN,0.1175%
Verisk Analytics Inc,VRSK,0.1171%
Total System Services Inc,TSS,0.117%
TransDigm Group Inc,TDG,0.1168%
Cintas Corp,CTAS,0.1151%
LyondellBasell Industries NV,LYB,0.1135%
Ulta Beauty Inc,ULTA,0.1128%
AmerisourceBergen Corp,ABC,0.112%
Splunk Inc,SPLK,0.1116%
Biomarin Pharmaceutical Inc,BMRN,0.111%
Waters Corp,WAT,0.1108%
Autozone Inc,AZO,0.1107%
Fastenal Co,FAST,0.1094%
Arista Networks Inc,ANET,0.1088%
Dell Technologies Inc,DVMT,0.1087%
Expedia Group Inc,EXPE,0.1072%
Mettler-Toledo International Inc,MTD,0.1068%
Vulcan Materials Co,VMC,0.1065%
ANSYS Inc,ANSS,0.1058%
Equifax Inc,EFX,0.104%
Resmed Inc,RMD,0.1038%
MSCI Inc,MSCI,0.1035%
W W Grainger Inc,GWW,0.1028%
CoStar Group Inc,CSGP,0.1025%
Clorox Co,CLX,0.0985%
Kellogg Co,K,0.0979%
Broadridge Financial Solutions Inc,BR,0.0975%
United Rentals Inc,URI,0.0962%
McCormick & Company Inc,MKC,0.0952%
First Republic Bank,FRC,0.0934%
Abiomed Inc,ABMD,0.0929%
Cboe Global Markets Inc,CBOE,0.0923%
Henry Schein Inc,HSIC,0.092%
TransUnion,TRU,0.0914%
Brown-Forman Corp,BF.B,0.0913%
Yum China Holdings Inc,YUMC,0.091%
Take-Two Interactive Software Inc,TTWO,0.0906%
NVR Inc,NVR,0.0906%
Square Inc,SQ,0.0905%
Kroger Co,KR,0.0899%
SVB Financial Group,SIVB,0.0896%
Darden Restaurants Inc,DRI,0.0889%
C.H. Robinson Worldwide Inc,CHRW,0.0886%
Carmax Inc,KMX,0.0884%
Church & Dwight Co Inc,CHD,0.0873%
CDW Corp,CDW,0.0869%
Philip Morris International Inc,PM,0.0868%
Martin Marietta Materials Inc,MLM,0.0865%
International Flavors & Fragrances Inc,IFF,0.0862%
Cadence Design Systems Inc,CDNS,0.0854%
Hershey Co,HSY,0.0852%
IHS Markit Ltd,INFO,0.0829%
Wyndham Worldwide Corp,WYN,0.0827%
Oracle Corp,ORCL,0.0826%
Ingersoll-Rand PLC,IR,0.0824%
FMC Corp,FMC,0.0824%
Domino's Pizza Inc,DPZ,0.0823%
Varian Medical Systems Inc,VAR,0.0817%
T-Mobile US Inc,TMUS,0.0817%
Gartner Inc,IT,0.0813%
Incyte Corp,INCY,0.0813%
Packaging Corp of America,PKG,0.0804%
Chipotle Mexican Grill Inc,CMG,0.0802%
Lear Corp,LEA,0.08%
Copart Inc,CPRT,0.0789%
Walgreens Boots Alliance Inc,WBA,0.0783%
IQVIA Holdings Inc,IQV,0.078%
Verisign Inc,VRSN,0.0778%
Dollar General Corp,DG,0.0776%
F5 Networks Inc,FFIV,0.0776%
J B Hunt Transport Services Inc,JBHT,0.0767%
Lululemon Athletica Inc,LULU,0.0745%
PTC Inc,PTC,0.0734%
Alliance Data Systems Corp,ADS,0.0729%
IDEX Corp,IEX,0.072%
Allstate Corp,ALL,0.0716%
Advanced Micro Devices Inc,AMD,0.071%
Extra Space Storage Inc,EXR,0.0708%
Procter & Gamble Co,PG,0.0706%
Jack Henry & Associates Inc,JKHY,0.0691%
IAC/InterActiveCorp,IAC,0.0689%
Vail Resorts Inc,MTN,0.0683%
Chemours Co,CC,0.0681%
VMware Inc,VMW,0.0679%
Western Union Co,WU,0.0679%
Huntington Ingalls Industries Inc,HII,0.0679%
Celanese Corp,CE,0.0674%
ON Semiconductor Corp,ON,0.067%
A. O. Smith Corp,AOS,0.0667%
SS&C Technologies Holdings Inc,SSNC,0.0665%
Cooper Companies Inc,COO,0.0664%
Cimarex Energy Co,XEC,0.0664%
Merck & Co Inc,MRK,0.0663%
First Data Corp,FDC,0.066%
Tractor Supply Co,TSCO,0.0659%
Colgate-Palmolive Co,CL,0.0656%
Avery Dennison Corp,AVY,0.0656%
Arthur J Gallagher & Co,AJG,0.0653%
Sirius XM Holdings Inc,SIRI,0.0653%
WellCare Health Plans Inc,WCG,0.065%
Iron Mountain Inc,IRM,0.0642%
SEI Investments Co,SEIC,0.0635%
Fortinet Inc,FTNT,0.0631%
XPO Logistics Inc,XPO,0.063%
IPG Photonics Corp,IPGP,0.063%
D.R. Horton Inc,DHI,0.0626%
GoDaddy Inc,GDDY,0.0624%
CDK Global Inc,CDK,0.0622%
Cheniere Energy Inc,LNG,0.0612%
