IWD: iShares Russell 1000 Value ETF
Inception Date: 2000-05-22
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	35545888
Shares Outstanding: 298400000
Expense Ratio: 0.2%
Tracks This Index: Russell 1000 Value Index
ETFdb.com Category: Large Cap Value Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/IWD


Holding,Symbol,Weighting
Textron Inc,TXT,0.1373%
Freeport-McMoRan Inc,FCX,0.1362%
Comerica Inc,CMA,0.1361%
Hess Corp,HES,0.1354%
E*TRADE Financial Corp,ETFC,0.1349%
Dollar General Corp,DG,0.1343%
Agilent Technologies Inc,A,0.1339%
Charter Communications Inc,CHTR,0.1338%
Motorola Solutions Inc,MSI,0.1337%
Markel Corp,MKL,0.1331%
Noble Energy Inc,NBL,0.1321%
Boston Properties Inc,BXP,0.1318%
Cummins Inc,CMI,0.13%
Huntington Bancshares Inc,HBAN,0.1299%
Essex Property Trust Inc,ESS,0.1291%
Marathon Oil Corp,MRO,0.1287%
NXP Semiconductors NV,NXPI,0.1276%
American Water Works Company Inc,AWK,0.1274%
Baker Hughes A GE Co,BHGE,0.1267%
FirstEnergy Corp,FE,0.1262%
Principal Financial Group Inc,PFG,0.1259%
Twenty-First Century Fox Inc,FOX,0.1249%
Halliburton Co,HAL,0.1228%
Lincoln National Corp,LNC,0.1228%
Apache Corp,APA,0.1227%
Eastman Chemical Co,EMN,0.1223%
WestRock Co,WRK,0.1219%
National Oilwell Varco Inc,NOV,0.1213%
Republic Services Inc,RSG,0.121%
Entergy Corp,ETR,0.1206%
MGM Resorts International,MGM,0.12%
Realty Income Corp,O,0.1186%
L3 Technologies Inc,LLL,0.1175%
Host Hotels & Resorts Inc,HST,0.1174%
Fidelity National Information Services Inc,FIS,0.1174%
Ameren Corp,AEE,0.1166%
Loews Corp,L,0.1166%
Conagra Brands Inc,CAG,0.114%
Quest Diagnostics Inc,DGX,0.114%
Lennar Corp,LEN,0.1126%
Charles Schwab Corp,SCHW,0.1121%
Ametek Inc,AME,0.1107%
CMS Energy Corp,CMS,0.1093%
Newell Brands Inc,NWL,0.1086%
Harris Corp,HRS,0.1084%
Alexandria Real Estate Equities Inc,ARE,0.1071%
Mohawk Industries Inc,MHK,0.1034%
J M Smucker Co,SJM,0.1032%
Dover Corp,DOV,0.1025%
Micron Technology Inc,MU,0.1017%
GGP Inc,GGP,0.1009%
Annaly Capital Management Inc,NLY,0.0989%
Vornado Realty Trust,VNO,0.0989%
Akamai Technologies Inc,AKAM,0.0986%
PVH Corp,PVH,0.0971%
Synopsys Inc,SNPS,0.0967%
Ally Financial Inc,ALLY,0.0965%
HollyFrontier Corp,HFC,0.0953%
Dentsply Sirona Inc,XRAY,0.0951%
Kansas City Southern,KSU,0.0913%
HCP Inc,HCP,0.0913%
Tapestry Inc,TPR,0.0911%
CenterPoint Energy Inc,CNP,0.091%
Tiffany & Co,TIF,0.0905%
Comcast Corp,CMCSA,0.0904%
Nielsen Holdings PLC,NLSN,0.0893%
Franklin Resources Inc,BEN,0.089%
Cincinnati Financial Corp,CINF,0.0889%
CA Inc,CA,0.0889%
Zions Bancorp,ZION,0.0889%
Ingersoll-Rand PLC,IR,0.0887%
Kohls Corp,KSS,0.0878%
Molson Coors Brewing Co,TAP,0.0875%
EQT Corp,EQT,0.0869%
Viacom Inc,VIAB,0.0866%
Norwegian Cruise Line Holdings Ltd,NCLH,0.0865%
Mid-America Apartment Communities Inc,MAA,0.0865%
Teleflex Inc,TFX,0.086%
American Airlines Group Inc,AAL,0.0858%
Universal Health Services Inc,UHS,0.085%
Bunge Ltd,BG,0.0849%
Perrigo Company PLC,PRGO,0.0833%
Targa Resources Corp,TRGP,0.0828%
Nasdaq Inc,NDAQ,0.0826%
Kroger Co,KR,0.0824%
Alcoa Corp,AA,0.082%
Alliant Energy Corp,LNT,0.082%
Duke Realty Corp,DRE,0.0819%
Union Pacific Corp,UNP,0.0815%
Reinsurance Group of America Inc,RGA,0.0814%
Fidelity National Financial Inc,FNF,0.0804%
Spirit AeroSystems Holdings Inc,SPR,0.0803%
Whirlpool Corp,WHR,0.0803%
Diamondback Energy Inc,FANG,0.0801%
Keysight Technologies Inc,KEYS,0.0799%
Torchmark Corp,TMK,0.0798%
Invesco Ltd,IVZ,0.0798%
XL Group Ltd,XL,0.0794%
Macy's Inc,M,0.0794%
UDR Inc,UDR,0.0793%
Mosaic Co,MOS,0.0793%
Hormel Foods Corp,HRL,0.079%
Atmos Energy Corp,ATO,0.0788%
Amdocs Ltd,DOX,0.0784%
DaVita Inc,DVA,0.0766%
Everest Re Group Ltd,RE,0.0766%
BorgWarner Inc,BWA,0.0764%
East West Bancorp Inc,EWBC,0.076%
Affiliated Managers Group Inc,AMG,0.0757%
Juniper Networks Inc,JNPR,0.0757%
CF Industries Holdings Inc,CF,0.0754%
Steel Dynamics Inc,STLD,0.0743%
Unum Group,UNM,0.0735%
Pinnacle West Capital Corp,PNW,0.0733%
Voya Financial Inc,VOYA,0.0733%
SL Green Realty Corp,SLG,0.0733%
Leidos Holdings Inc,LDOS,0.0729%
Albemarle Corp,ALB,0.0723%
Regency Centers Corp,REG,0.0722%
Michael Kors Holdings Ltd,KORS,0.0714%
Raymond James Financial Inc,RJF,0.0713%
NiSource Inc,NI,0.0707%
UGI Corp,UGI,0.0697%
Ingredion Inc,INGR,0.0696%
Arch Capital Group Ltd,ACGL,0.0689%
Marvell Technology Group Ltd,MRVL,0.0687%
Fluor Corp,FLR,0.068%
IHS Markit Ltd,INFO,0.0678%
Alleghany Corp,Y,0.0673%
AES Corp,AES,0.0671%
STERIS plc,STE,0.0669%
Genuine Parts Co,GPC,0.0664%
LKQ Corp,LKQ,0.0661%
Macerich Co,MAC,0.0657%
American Financial Group Inc,AFG,0.0654%
Camden Property Trust,CPT,0.0649%
Jones Lang LaSalle Inc,JLL,0.0632%
CBRE Group Inc,CBRE,0.0629%
Coty Inc,COTY,0.0628%
Orbital ATK Inc,OA,0.0628%
Caterpillar Inc,CAT,0.0628%
Westar Energy Inc,WR,0.0627%
Pentair PLC,PNR,0.0625%
Garmin Ltd,GRMN,0.0624%
Vistra Energy Corp,VST,0.0617%
Lockheed Martin Corp,LMT,0.0616%
Arconic Inc,ARNC,0.0615%
NRG Energy Inc,NRG,0.0614%
Helmerich and Payne Inc,HP,0.0613%
Liberty Media Corp,LSXMK,0.0612%
