IJR: iShares Core S&P Small-Cap ETF
Inception Date: 2000-05-22
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	37959903
Shares Outstanding: 484700000
Expense Ratio: 0.07%
Tracks This Index: S&P SmallCap 600 Index
ETFdb.com Category: Small Cap Growth Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/IJR


Holding,Symbol,Weighting
Ebix Inc,EBIX,0.2265%
NETGEAR Inc,NTGR,0.2259%
Albany International Corp,AIN,0.2239%
Northwest Bancshares Inc,NWBI,0.2237%
Meritage Homes Corp,MTH,0.2236%
American Equity Investment Life Holding Co,AEL,0.2219%
Kaman Corp,KAMN,0.2197%
Franklin Electric Co Inc,FELE,0.2193%
Dave & Buster's Entertainment Inc,PLAY,0.2192%
WageWorks Inc,WAGE,0.2185%
DSW Inc,DSW,0.2163%
Corcept Therapeutics Inc,CORT,0.2152%
iRobot Corp,IRBT,0.2144%
NBT Bancorp Inc,NBTB,0.2135%
Conmed Corp,CNMD,0.2127%
Callaway Golf Co,ELY,0.2118%
TiVo Corp,TIVO,0.2117%
PRA Group Inc,PRAA,0.2115%
Boise Cascade Co,BCC,0.2112%
Kulicke and Soffa Industries Inc,KLIC,0.2111%
Matthews International Corp,MATW,0.2107%
Integer Holdings Corp,ITGR,0.2106%
Kaiser Aluminum Corp,KALU,0.2106%
World Wrestling Entertainment Inc,WWE,0.2103%
Momenta Pharmaceuticals Inc,MNTA,0.2102%
Atlas Air Worldwide Holdings Inc,AAWW,0.2099%
Provident Financial Services Inc,PFS,0.2099%
EnPro Industries Inc,NPO,0.2097%
Mueller Industries Inc,MLI,0.2096%
Forward Air Corp,FWRD,0.2094%
Carrizo Oil & Gas Inc,CRZO,0.2053%
Comfort Systems USA Inc,FIX,0.2049%
Mercury Systems Inc,MRCY,0.2017%
Abaxis Inc,ABAX,0.2011%
G-III Apparel Group Ltd,GIII,0.2005%
Agree Realty Corp,ADC,0.2001%
Tailored Brands Inc,TLRD,0.2%
Summit Hotel Properties Inc,INN,0.1995%
Rambus Inc,RMBS,0.1994%
Walker & Dunlop Inc,WD,0.1987%
S&T Bancorp Inc,STBA,0.1981%
Hub Group Inc,HUBG,0.1977%
HMS Holdings Corp,HMSY,0.1977%
Westamerica Bancorp,WABC,0.1973%
General Cable Corp,BGC,0.1973%
Impax Laboratories Inc,IPXL,0.1971%
Cubic Corp,CUB,0.197%
ManTech International Corp,MANT,0.1964%
Waddell & Reed Financial Inc,WDR,0.1963%
First Commonwealth Financial Corp,FCF,0.1958%
U.S. Silica Holdings Inc,SLCA,0.1956%
Pacific Premier Bancorp Inc,PPBI,0.1954%
Cavco Industries Inc,CVCO,0.1947%
Infinity Property and Casualty Corp,IPCC,0.1943%
Methode Electronics Inc,MEI,0.1941%
Kraton Corp,KRA,0.1936%
Calavo Growers Inc,CVGW,0.1932%
American Axle & Manufacturing Holdings Inc,AXL,0.1929%
LTC Properties Inc,LTC,0.1915%
CSG Systems International Inc,CSGS,0.1895%
ESCO Technologies Inc,ESE,0.189%
MaxLinear Inc,MXL,0.1883%
Spectrum Pharmaceuticals Inc,SPPI,0.1876%
Dine Brands Global Inc,DIN,0.187%
Caleres Inc,CAL,0.1865%
Electronics for Imaging Inc,EFII,0.186%
AAR Corp,AIR,0.1851%
Stepan Co,SCL,0.1847%
Cal-Maine Foods Inc,CALM,0.1841%
Varex Imaging Corp,VREX,0.1838%
Repligen Corp,RGEN,0.1837%
Guess? Inc,GES,0.1836%
Patrick Industries Inc,PATK,0.1836%
Boston Private Financial Holdings Inc,BPFH,0.1832%
Enanta Pharmaceuticals Inc,ENTA,0.183%
Four Corners Property Trust Inc,FCPT,0.1829%
Actuant Corp,ATU,0.1825%
Ensign Group Inc,ENSG,0.1821%
Archrock Inc,AROC,0.1818%
Bottomline Technologies (DE) Inc,EPAY,0.1816%
Wingstop Inc,WING,0.1809%
Denbury Resources Inc,DNR,0.1807%
SPX Corp,SPXC,0.1807%
Aaon Inc,AAON,0.1804%
Oclaro Inc,OCLR,0.1804%
La-Z-Boy Inc,LZB,0.1803%
American Assets Trust Inc,AAT,0.1797%
AK Steel Holding Corp,AKS,0.1786%
Fox Factory Holding Corp,FOXF,0.1779%
National Storage Affiliates Trust,NSA,0.1767%
Interface Inc,TILE,0.1766%
TTM Technologies Inc,TTMI,0.1764%
Raven Industries Inc,RAVN,0.1753%
Neenah Inc,NP,0.175%
Virtusa Corp,VRTU,0.1748%
First Bancorp,FBP,0.1746%
Group 1 Automotive Inc,GPI,0.1743%
Tennant Co,TNC,0.1734%
MDC Holdings Inc,MDC,0.1733%
Matson Inc,MATX,0.173%
HFF Inc,HF,0.173%
Employers Holdings Inc,EIG,0.1721%
Federal Signal Corp,FSS,0.1718%
Brookline Bancorp Inc,BRKL,0.17%
Benchmark Electronics Inc,BHE,0.1699%
Asbury Automotive Group Inc,ABG,0.1697%
Global Net Lease Inc,GNL,0.1691%
Insight Enterprises Inc,NSIT,0.169%
Seacoast Banking Corporation of Florida,SBCF,0.1684%
Oxford Industries Inc,OXM,0.168%
Gentherm Inc,THRM,0.1675%
A Schulman Inc,SHLM,0.1657%
Greenbrier Companies Inc,GBX,0.1657%
Badger Meter Inc,BMI,0.1638%
BioTelemetry Inc,BEAT,0.1638%
SPS Commerce Inc,SPSC,0.1632%
MicroStrategy Inc,MSTR,0.1631%
LGI Homes Inc,LGIH,0.1622%
Navigators Group Inc,NAVG,0.16%
Blucora Inc,BCOR,0.1597%
US Ecology Inc,ECOL,0.1593%
Installed Building Products Inc,IBP,0.1588%
Universal Corp,UVV,0.1587%
Central Garden & Pet Co,CENTA,0.1586%
Extreme Networks Inc,EXTR,0.1583%
Safety Insurance Group Inc,SAFT,0.1576%
Schweitzer-Mauduit International Inc,SWM,0.1575%
Standex International Corp,SXI,0.1575%
Apogee Enterprises Inc,APOG,0.1574%
