TVIX: VelocityShares Daily 2x VIX Short Term ETN
Inception Date: 2010-11-29
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	425580
Shares Outstanding: 60683000
Expense Ratio: 1.65%
Tracks This Index: S&P 500 VIX Short-Term Futures Index Excess Return (200%)
ETFdb.com Category: Leveraged Volatility
Issuer: Credit Suisse
Structure: ETN
ETF Home Page: http://etfdb.com/etf/TVIX


Holding,Symbol,Weighting
CBOE Volatility Index (VIX) Futures,UX,100.0%
