VO: Vanguard Mid-Cap Index ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	22212417
Shares Outstanding: 145065000
Expense Ratio: 0.05%
Tracks This Index: CRSP US Mid Cap Index
ETFdb.com Category: Mid Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VO


Holding,Symbol,Weighting
Ally Financial Inc,ALLY,0.294%
Akamai Technologies Inc,AKAM,0.2939%
Carmax Inc,KMX,0.2937%
Invesco Ltd,IVZ,0.2926%
Church & Dwight Co Inc,CHD,0.2924%
Darden Restaurants Inc,DRI,0.2908%
Cadence Design Systems Inc,CDNS,0.2882%
AvalonBay Communities Inc,AVB,0.2846%
Cooper Companies Inc,COO,0.2845%
Expeditors International of Washington Inc,EXPD,0.2831%
International Flavors & Fragrances Inc,IFF,0.2818%
Kansas City Southern,KSU,0.2812%
Cabot Oil & Gas Corp,COG,0.2811%
HCP Inc,HCP,0.2811%
Incyte Corp,INCY,0.2807%
CenterPoint Energy Inc,CNP,0.28%
Hologic Inc,HOLX,0.2796%
Zions Bancorp,ZION,0.2783%
Whirlpool Corp,WHR,0.278%
Cincinnati Financial Corp,CINF,0.2768%
Albemarle Corp,ALB,0.276%
Nielsen Holdings PLC,NLSN,0.2754%
FMC Corp,FMC,0.275%
Extra Space Storage Inc,EXR,0.2737%
Qurate Retail Inc,QRTEA,0.2735%
Molson Coors Brewing Co,TAP,0.2725%
CA Inc,CA,0.2715%
Varian Medical Systems Inc,VAR,0.2703%
Kohls Corp,KSS,0.27%
Norwegian Cruise Line Holdings Ltd,NCLH,0.2678%
Viacom Inc,VIAB,0.2672%
Mid-America Apartment Communities Inc,MAA,0.2668%
Huntington Ingalls Industries Inc,HII,0.2664%
Gartner Inc,IT,0.2648%
Wyndham Worldwide Corp,WYN,0.2637%
Bunge Ltd,BG,0.2623%
Arch Capital Group Ltd,ACGL,0.2619%
Nasdaq Inc,NDAQ,0.2618%
J B Hunt Transport Services Inc,JBHT,0.2615%
BorgWarner Inc,BWA,0.2607%
F5 Networks Inc,FFIV,0.2597%
Advanced Micro Devices Inc,AMD,0.2568%
Tyson Foods Inc,TSN,0.2556%
Lululemon Athletica Inc,LULU,0.2553%
Alliant Energy Corp,LNT,0.2531%
Duke Realty Corp,DRE,0.2528%
Verisign Inc,VRSN,0.2498%
Reinsurance Group of America Inc,RGA,0.2495%
Universal Health Services Inc,UHS,0.2491%
Hasbro Inc,HAS,0.2489%
Perrigo Company PLC,PRGO,0.2472%
UDR Inc,UDR,0.2468%
SL Green Realty Corp,SLG,0.2458%
Fidelity National Financial Inc,FNF,0.2455%
Macy's Inc,M,0.244%
NVR Inc,NVR,0.2424%
Michael Kors Holdings Ltd,KORS,0.2412%
Qorvo Inc,QRVO,0.2405%
Mosaic Co,MOS,0.2403%
Lamb Weston Holdings Inc,LW,0.2396%
Alliance Data Systems Corp,ADS,0.2394%
Cimarex Energy Co,XEC,0.2393%
Hormel Foods Corp,HRL,0.2393%
Voya Financial Inc,VOYA,0.2391%
Everest Re Group Ltd,RE,0.2384%
Juniper Networks Inc,JNPR,0.2383%
Torchmark Corp,TMK,0.2372%
Iron Mountain Inc,IRM,0.2354%
Avery Dennison Corp,AVY,0.234%
CF Industries Holdings Inc,CF,0.2327%
Aramark,ARMK,0.2318%
Regency Centers Corp,REG,0.2292%
Interpublic Group of Companies Inc,IPG,0.2276%
Affiliated Managers Group Inc,AMG,0.2272%
LKQ Corp,LKQ,0.2269%
SEI Investments Co,SEIC,0.2264%
Pinnacle West Capital Corp,PNW,0.2261%
Western Union Co,WU,0.2258%
Unum Group,UNM,0.2245%
United Continental Holdings Inc,UAL,0.2236%
CDK Global Inc,CDK,0.222%
DaVita Inc,DVA,0.2219%
Jazz Pharmaceuticals PLC,JAZZ,0.2217%
Trimble Inc,TRMB,0.2207%
Tractor Supply Co,TSCO,0.2191%
NiSource Inc,NI,0.2188%
Federal Realty Investment Trust,FRT,0.2173%
Sensata Technologies Holding PLC,ST,0.2168%
Autozone Inc,AZO,0.214%
First Data Corp,FDC,0.2118%
Fortune Brands Home & Security Inc,FBHS,0.211%
L Brands Inc,LB,0.2109%
Fluor Corp,FLR,0.2102%
Alleghany Corp,Y,0.2093%
Advance Auto Parts Inc,AAP,0.2089%
Snap-On Inc,SNA,0.2086%
Marvell Technology Group Ltd,MRVL,0.2084%
Jacobs Engineering Group Inc,JEC,0.2081%
Macerich Co,MAC,0.2075%
Alnylam Pharmaceuticals Inc,ALNY,0.2069%
AES Corp,AES,0.2054%
Camden Property Trust,CPT,0.2043%
Gap Inc,GPS,0.2023%
News Corp,NWSA,0.2019%
PulteGroup Inc,PHM,0.2012%
IPG Photonics Corp,IPGP,0.2011%
Apache Corp,APA,0.1995%
Campbell Soup Co,CPB,0.1993%
Alaska Air Group Inc,ALK,0.1987%
Jones Lang LaSalle Inc,JLL,0.1966%
AmerisourceBergen Corp,ABC,0.1951%
