VYM: Vanguard High Dividend Yield ETF
Inception Date: 2006-11-16
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	20284944
Shares Outstanding: 248438000
Expense Ratio: 0.08%
Tracks This Index: FTSE High Dividend Yield Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VYM


Holding,Symbol,Weighting
UGI Corp,UGI,0.0875%
L Brands Inc,LB,0.0858%
AES Corp,AES,0.0836%
Garmin Ltd,GRMN,0.0789%
Coty Inc,COTY,0.0786%
Westar Energy Inc,WR,0.0785%
Helmerich and Payne Inc,HP,0.0743%
KAR Auction Services Inc,KAR,0.074%
Coca-Cola European Partners PLC,CK0,0.0731%
Great Plains Energy Inc,GXP,0.0729%
Pinnacle Foods Inc,PF,0.0725%
Harley-Davidson Inc,HOG,0.0709%
Xerox Corp,XRX,0.0705%
Gap Inc,GPS,0.0699%
PacWest Bancorp,PACW,0.0686%
OGE Energy Corp,OGE,0.0681%
Cullen/Frost Bankers Inc,CFR,0.0677%
RPM International Inc,RPM,0.066%
Aqua America Inc,WTR,0.0656%
Lazard Ltd,LAZ,0.0652%
People's United Financial Inc,PBCT,0.0645%
HanesBrands Inc,HBI,0.0643%
Reliance Steel & Aluminum Co,RS,0.0642%
Eaton Vance Corp,EV,0.0639%
Janus Henderson Group PLC,0RPW,0.0636%
Polaris Industries Inc,PII,0.0629%
Ralph Lauren Corp,RL,0.0626%
Vectren Corp,VVC,0.0619%
Huntsman Corp,HUN,0.0615%
Nordstrom Inc,JWN,0.0615%
New York Community Bancorp Inc,NYCB,0.0591%
First American Financial Corp,FAF,0.0577%
H & R Block Inc,HRB,0.0576%
LPL Financial Holdings Inc,LPLA,0.0565%
MDU Resources Group Inc,MDU,0.0564%
Leggett & Platt Inc,LEG,0.0559%
Umpqua Holdings Corp,UMPQ,0.054%
Validus Holdings Ltd,VR,0.0531%
Olin Corp,OLN,0.0528%
Sonoco Products Co,SON,0.0527%
Cypress Semiconductor Corp,CY,0.052%
Murphy Oil Corp,MUR,0.0511%
Mattel Inc,MAT,0.0511%
Old Republic International Corp,ORI,0.051%
SCANA Corp,SCG,0.0504%
Idacorp Inc,IDA,0.0502%
Watsco Inc,WSO,0.0491%
AXIS Capital Holdings Ltd,AXS,0.0479%
WGL Holdings Inc,WGL,0.0463%
National Instruments Corp,NATI,0.0456%
BankUnited Inc,BKU,0.0438%
Hancock Holding Co,HBHC,0.0437%
PBF Energy Inc,PBF,0.0437%
Six Flags Entertainment Corp,SIX,0.0435%
F.N.B. Corp,FNB,0.0431%
Williams-Sonoma Inc,WSM,0.0425%
Cinemark Holdings Inc,CNK,0.0418%
ALLETE Inc,ALE,0.0417%
Flowers Foods Inc,FLO,0.0406%
Chemical Financial Corp,CHFC,0.0403%
Delek US Holdings Inc,DK,0.0402%
NU Skin Enterprises Inc,NUS,0.0396%
Extended Stay America Inc,STAY,0.0394%
Portland General Electric Co,POR,0.0392%
ONE Gas Inc,OGS,0.0391%
Hawaiian Electric Industries Inc,HE,0.039%
Bank of Hawaii Corp,BOH,0.0373%
ILG Inc,ILG,0.0372%
New Jersey Resources Corp,NJR,0.0368%
Ryder System Inc,R,0.0362%
Southwest Gas Holdings Inc,SWX,0.0359%
Navient Corp,NAVI,0.0357%
Avista Corp,AVA,0.0357%
United Bankshares Inc,UBSI,0.0353%
Spire Inc,SR,0.0353%
Scotts Miracle-Gro Co,SMG,0.0342%
American Eagle Outfitters Inc,AEO,0.0339%
Timken Co,TKR,0.0334%
Valley National Bancorp,VLY,0.0333%
BGC Partners Inc,BGCP,0.0325%
PNM Resources Inc,PNM,0.0324%
Cracker Barrel Old Country Store Inc,CBRL,0.0322%
International Game Technology PLC,IGT,0.0314%
Avangrid Inc,AGR,0.0314%
Macquarie Infrastructure Corp,MIC,0.0314%
Kennametal Inc,KMT,0.0312%
Black Hills Corp,BKH,0.031%
First Financial Bancorp,FFBC,0.0305%
Columbia Banking System Inc,COLB,0.0303%
Fulton Financial Corp,FULT,0.0302%
Tribune Media Co,TRCO,0.0298%
Hillenbrand Inc,HI,0.0295%
Glacier Bancorp Inc,GBCI,0.0295%
Domtar Corp,UFS,0.029%
John Wiley & Sons Inc,JW.A,0.0287%
Community Bank System Inc,CBU,0.0282%
Kemper Corp,KMPR,0.0271%
NorthWestern Corp,NWE,0.0268%
GATX Corp,GATX,0.0259%
South Jersey Industries Inc,SJI,0.0258%
Cash Component,CASH,0.0255%
ProAssurance Corp,PRA,0.025%
RLI Corp,RLI,0.0248%
BOK Financial Corp,BOKF,0.0247%
Federated Investors Inc,FII,0.0247%
Commercial Metals Co,CMC,0.0245%
CVB Financial Corp,CVBF,0.0243%
Tupperware Brands Corp,TUP,0.0239%
Compass Minerals International Inc,CMP,0.0238%
Old National Bancorp,ONB,0.0238%
Hope Bancorp Inc,HOPE,0.0231%
Tegna Inc,TGNA,0.023%
Brinker International Inc,EAT,0.0228%
Kennedy-Wilson Holdings Inc,KW,0.0228%
El Paso Electric Co,EE,0.0224%
Oceaneering International Inc,OII,0.0218%
Trustmark Corp,TRMK,0.0217%
Cogent Communications Holdings Inc,CCOI,0.0214%
Meredith Corp,MDP,0.0204%
Vector Group Ltd,VGR,0.0201%
WesBanco Inc,WSBC,0.0195%
Horace Mann Educators Corp,HMN,0.0191%
Mobile Mini Inc,MINI,0.0185%
Covanta Holding Corp,CVA,0.0184%
Northwest Natural Gas Co,NWN,0.0182%
Abercrombie & Fitch Co,ANF,0.0177%
Brady Corp,BRC,0.0177%
Otter Tail Corp,OTTR,0.0172%
Pitney Bowes Inc,PBI,0.0172%
SemGroup Corp,SEMG,0.0169%
Capitol Federal Financial Inc,CFFN,0.0167%
Provident Financial Services Inc,PFS,0.0167%
TiVo Corp,TIVO,0.0165%
NBT Bancorp Inc,NBTB,0.0164%
Northwest Bancshares Inc,NWBI,0.0163%
General Cable Corp,BGC,0.016%
