VUG: Vanguard Growth ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	33030248
Shares Outstanding: 231531000
Expense Ratio: 0.05%
Tracks This Index: MSCI US Prime Market Growth Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VUG


Holding,Symbol,Weighting
SVB Financial Group,SIVB,0.1459%
Wynn Resorts Ltd,WYNN,0.1446%
Verisk Analytics Inc,VRSK,0.143%
Maxim Integrated Products Inc,MXIM,0.1414%
First Republic Bank,FRC,0.1394%
IQVIA Holdings Inc,IQV,0.1386%
Vulcan Materials Co,VMC,0.137%
TransDigm Group Inc,TDG,0.1342%
Cintas Corp,CTAS,0.1341%
Splunk Inc,SPLK,0.1328%
Waters Corp,WAT,0.1326%
Realty Income Corp,O,0.1325%
Ulta Beauty Inc,ULTA,0.1323%
Biomarin Pharmaceutical Inc,BMRN,0.1316%
Expedia Group Inc,EXPE,0.1315%
CBRE Group Inc,CBRE,0.1298%
Fastenal Co,FAST,0.1296%
Markel Corp,MKL,0.1271%
Resmed Inc,RMD,0.1263%
Total System Services Inc,TSS,0.126%
Mettler-Toledo International Inc,MTD,0.1258%
Mohawk Industries Inc,MHK,0.125%
CoStar Group Inc,CSGP,0.1239%
Equifax Inc,EFX,0.1232%
Citrix Systems Inc,CTXS,0.123%
MSCI Inc,MSCI,0.1223%
Brown-Forman Corp,BF.B,0.1221%
ANSYS Inc,ANSS,0.1216%
EQT Corp,EQT,0.1201%
Arista Networks Inc,ANET,0.1191%
Hershey Co,HSY,0.118%
Alexandria Real Estate Equities Inc,ARE,0.118%
Martin Marietta Materials Inc,MLM,0.1159%
Carnival Corp,CCL,0.1145%
McCormick & Company Inc,MKC,0.114%
Xylem Inc,XYL,0.1139%
Arthur J Gallagher & Co,AJG,0.1135%
Square Inc,SQ,0.1132%
Cboe Global Markets Inc,CBOE,0.1108%
Cheniere Energy Inc,LNG,0.1105%
Vornado Realty Trust,VNO,0.1088%
Take-Two Interactive Software Inc,TTWO,0.1088%
Masco Corp,MAS,0.1079%
Henry Schein Inc,HSIC,0.1074%
C.H. Robinson Worldwide Inc,CHRW,0.1069%
Akamai Technologies Inc,AKAM,0.1065%
Chipotle Mexican Grill Inc,CMG,0.1063%
Church & Dwight Co Inc,CHD,0.1055%
Cadence Design Systems Inc,CDNS,0.1031%
Expeditors International of Washington Inc,EXPD,0.1025%
International Flavors & Fragrances Inc,IFF,0.1021%
Cooper Companies Inc,COO,0.1018%
Kansas City Southern,KSU,0.1016%
