Symbol,Name,Last,Name,Exchange,Industry,Sector,"ETF Full Name","Fund Family","Asset Class","Contract Name"
AFSI,"Amtrust Financial",13.04,"Amtrust Financial",NASDAQ,"Insurance - Proprty & Casualty",Finance,N/A,N/A,N/A,N/A
AGEN,"Agenus Inc",3.68,"Agenus Inc",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
AGFS,"Agrofresh Solutions",7.11,"Agrofresh Solutions",NASDAQ,"Chemical - Specialty","Basic Materials",N/A,N/A,N/A,N/A
AGII,"Argo Group Intl Hlds",58.85,"Argo Group Intl Hlds",NASDAQ,"Insurance - Proprty & Casualty",Finance,N/A,N/A,N/A,N/A
AGM,"Federal Agricultural Mortgage Corp",87.14,"Federal Agricultural Mortgage Corp",NYSE,"Finance - Mortgage & Rel Svs",Finance,N/A,N/A,N/A,N/A
AGS,"Playags Inc.",23.19,"Playags Inc.",NYSE,Gaming,"Consumer Discretionary",N/A,N/A,N/A,N/A
AGX,"Argan Inc",38.4,"Argan Inc",NYSE,"Building & Construction - Misc",Construction,N/A,N/A,N/A,N/A
AGYS,"Agilysys Inc",12.11,"Agilysys Inc",NASDAQ,"Computer - Integrated Systems","Computers and Technology",N/A,N/A,N/A,N/A
AHH,"Armada Hoffler Properties Inc",13.93,"Armada Hoffler Properties Inc",NYSE,"REIT - Equity Trust Resident",Finance,N/A,N/A,N/A,N/A
AHT,"Ashford Hospitality Trust Inc",7.02,"Ashford Hospitality Trust Inc",NYSE,"REIT - Equity Trust Other",Finance,N/A,N/A,N/A,N/A
AI,"Arlington Asset Investment Corp",11.27,"Arlington Asset Investment Corp",NYSE,"Finance - Investment Brokers",Finance,N/A,N/A,N/A,N/A
AIMC,"Altra Indtl Mtn",42,"Altra Indtl Mtn",NASDAQ,"Machinery - General Industrial","Industrial Products",N/A,N/A,N/A,N/A
AIMT,"Aimmune Therap",30.92,"Aimmune Therap",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
AIN,"Albany International Corp",58.35,"Albany International Corp",NYSE,"Textile - Products","Industrial Products",N/A,N/A,N/A,N/A
AIR,"AAR Corp",44.39,"AAR Corp",NYSE,"Aerospace - Defense Equipment",Aerospace,N/A,N/A,N/A,N/A
AIT,"Applied Industrial Technologies",66.1,"Applied Industrial Technologies",NYSE,"Machinery - General Industrial","Industrial Products",N/A,N/A,N/A,N/A
AJRD,"Aerojet Rocketdyne Holdings",25.65,"Aerojet Rocketdyne Holdings",NYSE,"Aerospace - Defense Equipment",Aerospace,N/A,N/A,N/A,N/A
AJX,"Great Ajax Corp",13.38,"Great Ajax Corp",NYSE,"REIT - Mortgage Trusts",Finance,N/A,N/A,N/A,N/A
AKAO,"Achaogen Inc",11.71,"Achaogen Inc",NASDAQ,"Medical - Drugs",Medical,N/A,N/A,N/A,N/A
AKBA,"Akebia Therapeutics",9.5,"Akebia Therapeutics",NASDAQ,"Medical - Drugs",Medical,N/A,N/A,N/A,N/A
AKCA,"Akcea Therapeutics Inc",22.27,"Akcea Therapeutics Inc",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
