VGK: Vanguard FTSE Europe ETF
Inception Date: 2005-03-10
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	18822011
Shares Outstanding: 318047000
Expense Ratio: 0.1%
Tracks This Index: FTSE Developed Europe Index
ETFdb.com Category: Europe Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VGK


Holding,Symbol,Weighting
Geberit AG,GEBN,0.1528%
Valeo SA,FR,0.1517%
Ferrari NV,RACE,0.1492%
NN Group NV,NN,0.1487%
Wirecard AG,WDI,0.1482%
Publicis Groupe SA,PUB,0.1438%
Wolters Kluwer NV,WKL,0.1405%
Essity AB (publ),ESSITY.B,0.1404%
Telenor ASA,TEL,0.1387%
HeidelbergCement AG,HEI,0.1384%
Covestro AG,1COV,0.1361%
DSV A/S,DSV,0.1359%
AP Moeller - Maersk A/S,MAERSK.B,0.1352%
Kerry Group PLC,KRZ,0.1348%
Hexagon AB,HEXA.B,0.1345%
Henkel AG & Co KgaA,HEN,0.134%
STMicroelectronics NV,STM,0.1333%
Skandinaviska Enskilda Banken AB,SEB.A,0.1309%
Erste Group Bank AG,EBS,0.1308%
Ashtead Group PLC,AHT,0.1304%
The Swatch Group AG,UHR,0.13%
Abertis Infraestructuras SA,ABE,0.1271%
ABN AMRO Group NV,ABN,0.1269%
Vestas Wind Systems A/S,VWS,0.1267%
Commerzbank AG,CBK,0.1266%
Standard Life Aberdeen PLC,SLA,0.1265%
Porsche Automobil Holding SE,PAH3,0.1253%
Julius Baer Gruppe AG,BAER,0.1241%
Telia Company AB,TELIA,0.1232%
SGS SA,SGSN,0.123%
Sika AG,SIK,0.1228%
Aena SME SA,AENA,0.1227%
Thales SA,HO,0.1209%
Telecom Italia SpA,TIT,0.1205%
Merck KGaA,MRK,0.1195%
Associated British Foods PLC,ABF,0.1192%
Aegon NV,AGN,0.1189%
Beiersdorf AG,BEI,0.1166%
3i Group PLC,III,0.1152%
RWE AG,RWE,0.1147%
Thyssenkrupp AG,TKA,0.1139%
InterContinental Hotels Group PLC,IHG,0.1123%
Swiss Life Holding AG,SLHN,0.1122%
Atos SE,ATO,0.1121%
CNH Industrial NV,CNHI,0.1118%
Royal Bank of Scotland Group PLC,RBS,0.1117%
Partners Group Holding AG,PGHN,0.1111%
Pandora A/S,PNDORA,0.111%
Centrica PLC,CNA,0.1106%
Carlsberg A/S,CARL.B,0.1102%
Snam SpA,SRG,0.1093%
Veolia Environnement SA,VIE,0.108%
Umicore SA,UMI,0.108%
Accor SA,AC,0.1075%
Grifols SA,GRF,0.1068%
Galp Energia SGPS SA,GALP,0.1066%
Chocoladefabriken Lindt & Spruengli AG,LISP,0.1066%
Persimmon PLC,PSN,0.1061%
Coloplast A/S,COLO.B,0.106%
Carnival PLC,CCL,0.1057%
Carrefour SA,CA,0.1053%
Genmab A/S,GEN,0.1047%
Banco de Sabadell SA,SAB,0.1033%
Melrose Industries PLC,MRO,0.1021%
Intertek Group PLC,ITRK,0.1017%
Peugeot SA,UG,0.0999%
Whitbread PLC,WTB,0.0993%
Novozymes A/S,NZYM.B,0.0988%
Orsted A/S,ORSTED,0.0983%
Heineken Holding NV,HEIO,0.0981%
Adecco Group AG,ADEN,0.0977%
Burberry Group PLC,BRBY,0.0974%
ACS Actividades de Construccion y Servicios SA,ACS,0.0973%
Bouygues SA,EN,0.0958%
Ferrovial SA,FER,0.0948%
Mondi PLC,MNDI,0.0942%
Tui AG,TUI,0.0941%
Neste Oyj,NESTE,0.0935%
Swisscom AG,SCMN,0.0932%
Ageas SA,AGS,0.093%
Smurfit Kappa Group PLC,SKG,0.0929%
Symrise AG,SY1,0.0927%
Solvay SA,SOLB,0.0926%
Bunzl plc,BNZL,0.0919%
Wartsila Oyj Abp,WRT1V,0.0918%
Fortum Oyj,FORTUM,0.0915%
Boliden AB,BOL,0.0914%
Next PLC,NXT,0.0905%
Luxottica Group SpA,LUX,0.09%
Land Securities Group PLC,LAND,0.089%
Arkema SA,AKE,0.0888%
Tenaris SA,TEN,0.0883%
Stora Enso Oyj,STERV,0.088%
Sage Group PLC,SGE,0.0877%
Teleperformance SE,TEP,0.0873%
Ucb SA,UCB,0.0862%
MTU Aero Engines AG,MTX,0.0862%
OMV AG,OMV,0.0859%
Brenntag AG,BNR,0.0853%
Roche Holding AG,RO,0.085%
International Consolidated Airlines Group SA,IAG,0.0846%
Red Electrica Corporacion SA,REE,0.0845%
Eiffage SA,FGR,0.0842%
RSA Insurance Group PLC,RSA,0.0842%
British Land Company PLC,BLND,0.0838%
Pearson PLC,PSON,0.0832%
Klepierre SA,LI,0.0827%
Sodexo SA,SW,0.0824%
Smiths Group PLC,SMIN,0.0822%
DCC PLC,DCC,0.0814%
Norsk Hydro ASA,NHY,0.0811%
SEGRO PLC,SGRO,0.0809%
Marine Harvest ASA,MHG,0.0809%
Johnson Matthey PLC,JMAT,0.0807%
Kingfisher PLC,KGF,0.0801%
Vifor Pharma AG,VIFN,0.08%
Terna Rete Elettrica Nazionale SpA,TRN,0.0798%
Kuehne und Nagel International AG,KNIN,0.0793%
EDP Energias de Portugal SA,EDP,0.0791%
Informa PLC,INF,0.0791%
Koninklijke KPN NV,KPN,0.0789%
Sonova Holding AG,SOON,0.0789%
Taylor Wimpey PLC,TW.,0.0788%
Prosiebensat 1 Media SE,PSM,0.0782%
Kinnevik AB,KINV.B,0.0781%
Hannover Rueck SE,HNR1,0.0778%
Schindler Holding AG,SCHP,0.0774%
Bank of Ireland Group PLC,BIRG,0.0772%
Groep Brussel Lambert NV,GBLB,0.077%
St. James's Place PLC,STJ,0.0769%
Exor NV,EXO,0.0761%
Edenred SA,EDEN,0.0758%
Chr Hansen Holding A/S,CHR,0.0755%
Swedish Match AB,SWMA,0.0749%
Alfa Laval AB,ALFA,0.0746%
Gecina SA,GFC,0.0745%
Croda International PLC,CRDA,0.0737%
AB SKF,SKF.B,0.0737%
Rentokil Initial PLC,RTO,0.0732%
Gas Natural SDG SA,GAS,0.0732%
United Internet AG,UTDI,0.0722%
Yara International ASA,YAR,0.072%
ITV PLC,ITV,0.0718%
Paddy Power Betfair PLC,PPB,0.0716%
Electricite de France SA,EDF,0.0714%
Mediobanca Banca di Credito Finanziario SpA,MB,0.0713%
Randgold Resources Ltd,RRS,0.0711%
Barratt Developments PLC,BDEV,0.0706%
Natixis SA,KN,0.0705%
Temenos Group AG,TEMN,0.0698%
Straumann Holding AG,STMN,0.0697%
Endesa SA,ELE,0.0696%
Moncler SpA,MONC,0.0689%
Royal Mail PLC,RMG,0.0686%
Micro Focus International PLC,MCRO,0.0686%
Bankinter SA,BKT,0.0684%
Qiagen NV,QIA,0.0683%
Randstad NV,RAND,0.0679%
Ubisoft Entertainment SA,UBI,0.0677%
LEG Immobilien AG,LEG,0.0675%
DS Smith PLC,SMDS,0.067%
Orkla ASA,ORK,0.0669%
Alstom SA,ALO,0.0665%
United Utilities Group PLC,UU.,0.0662%
Deutsche Lufthansa AG,LHA,0.0658%
WM Morrison Supermarkets PLC,MRW,0.0657%
Berkeley Group Holdings PLC,BKG,0.0656%
Skanska AB,SKA.B,0.0648%
ASR Nederland NV,ASRNL,0.064%
Direct Line Insurance Group PLC,DLG,0.064%
Industrivarden AB,INDU.C,0.0634%
Baloise Holding Ltd,BALN,0.063%
Bureau Veritas SA,BVI,0.063%
Enagas SA,ENG,0.0628%
GEA Group AG,G1A,0.0626%
Weir Group PLC,WEIR,0.0625%
J Sainsbury PLC,SBRY,0.0625%
Kingspan Group PLC,KRX,0.0621%
Iss A/S,ISS,0.0621%
Svenska Cellulosa SCA AB,SCA.B,0.0615%
Prysmian SpA,PRY,0.0614%
Coca Cola HBC AG,CCH,0.0607%
Scor SE,SCR,0.0606%
Hargreaves Lansdown PLC,HL.,0.0606%
Severn Trent PLC,SVT,0.0602%
