EWJ: iShares MSCI Japan ETF
Inception Date: 1996-03-12
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	21170675
Shares Outstanding: 351450000
Expense Ratio: 0.49%
Tracks This Index: MSCI Japan Index
ETFdb.com Category: Japan Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/EWJ


Holding,Symbol,Weighting
Bandai Namco Holdings Inc,7832,0.1892%
Sekisui Chemical Co Ltd,4204,0.1879%
Rakuten Inc,4755,0.1877%
Daito Trust Construction Co Ltd,1878,0.1855%
Shimadzu Corp,7701,0.1839%
Nippon Building Fund Inc,8951,0.1826%
Ricoh Co Ltd,7752,0.1824%
NTT Data Corp,9613,0.1807%
Kintetsu Group Holdings Co Ltd,9041,0.1789%
Don Quijote Holdings Co Ltd,7532,0.1787%
Nippon Paint Holdings Co Ltd,4612,0.1773%
Start Today Co Ltd,3092,0.1746%
Hamamatsu Photonics KK,6965,0.1725%
Japan Real Estate Investment Corp,8952,0.1715%
LIXIL Group Corp,5938,0.1713%
Nomura Research Institute Ltd,4307,0.1706%
Tobu Railway Co Ltd,9001,0.1676%
Nippon Express Co Ltd,9062,0.1675%
TOTO Ltd,5332,0.1666%
Odakyu Electric Railway Co Ltd,9007,0.1659%
Santen Pharmaceutical Co Ltd,4536,0.1656%
Nexon Co Ltd,3659,0.1656%
Kuraray Co Ltd,3405,0.1634%
Fanuc Corp,FANUF,0.1626%
Suntory Beverage & Food Ltd,2587,0.16%
Tohoku Electric Power Co Inc,9506,0.16%
Sumco Corp,3436,0.1599%
Tsuruha Holdings Inc,3391,0.1595%
Hirose Electric Co Ltd,6806,0.1571%
Nikon Corp,7731,0.1548%
Oji Holdings Corp,3861,0.1538%
Japan Post Bank Co Ltd,7182,0.1499%
Shimizu Corp,1803,0.1498%
SBI Holdings Inc,8473,0.1497%
Keio Corp,9008,0.1485%
Nissan Chemical Industries Ltd,4021,0.1473%
SMC Corp,SMECF,0.1472%
IHI Corp,7013,0.1451%
Yokogawa Electric Corp,6841,0.1435%
USS Co Ltd,4732,0.1429%
Kawasaki Heavy Industries Ltd,7012,0.1427%
Brother Industries Ltd,6448,0.1424%
Seiko Epson Corp,6724,0.142%
Kyowa Hakko Kirin Co Ltd,4151,0.1413%
Dai Nippon Printing Co Ltd,7912,0.1406%
Kyushu Railway Co,9142,0.1401%
Coca-Cola Bottlers Japan Holdings Inc,2579,0.1393%
Lion Corp,4912,0.1386%
Mitsubishi Motors Corp,7211,0.1381%
Nomura Real Estate Master Fund Inc,3462,0.1379%
Tosoh Corp,4042,0.1372%
Yahoo Japan Corp,4689,0.137%
United Urban Investment Corp,8960,0.1363%
JGC Corp,1963,0.1358%
Kyushu Electric Power Co Inc,9508,0.1343%
NSK Ltd,6471,0.1335%
Shizuoka Bank Ltd,8355,0.1332%
Aozora Bank Ltd,8304,0.1331%
Daito Trust Construction Co Ltd,DITTF,0.1327%
Chiba Bank Ltd,8331,0.1322%
Fast Retailing Co Ltd,FRCOF,0.1298%
Alps Electric Co Ltd,6770,0.1276%
ANA Holdings Inc,9202,0.1274%
Mitsui Chemicals Inc,4183,0.1268%
Sharp Corp,6753,0.1266%
Japan Airlines Co Ltd,9201,0.1254%
Disco Corp,6146,0.1253%
Sumitomo Heavy Industries Ltd,6302,0.1247%
Taiheiyo Cement Corp,5233,0.1245%
Japan Retail Fund Investment Corp,8953,0.1242%
Idemitsu Kosan Co Ltd,5019,0.1235%
NGK Insulators Ltd,5333,0.1229%
Kansai Paint Co Ltd,4613,0.1224%
Kose Corp,4922,0.1222%
Alfresa Holdings Corp,2784,0.122%
Nisshin Seifun Group Inc,2002,0.1219%
Hitachi Construction Machinery Co Ltd,6305,0.1208%
NGK Spark Plug Co Ltd,5334,0.1204%
Stanley Electric Co Ltd,6923,0.1194%
Electric Power Development Co Ltd,9513,0.1187%
Daifuku Co Ltd,6383,0.1181%
Fukuoka Financial Group Inc,8354,0.1175%
Keikyu Corp,9006,0.1165%
Marui Group Co Ltd,8252,0.1164%
Nippon Prologis REIT Inc,3283,0.1164%
Nagoya Railroad Co Ltd,9048,0.1149%
Konica Minolta Inc,4902,0.1139%
Seibu Holdings Inc,9024,0.1135%
Sundrug Co Ltd,9989,0.1127%
THK Co Ltd,6481,0.1126%
Nabtesco Corp,6268,0.1114%
Konami Holdings Corp,9766,0.1111%
Toho Co Ltd,9602,0.1102%
Sohgo Security Services Co Ltd,2331,0.1097%
Rinnai Corp,5947,0.109%
J.Front Retailing Co Ltd,3086,0.1089%
Amada Holdings Co Ltd,6113,0.1063%
Keisei Electric Railway Co Ltd,9009,0.1063%
Persol Holdings Co Ltd,2181,0.1058%
Mebuki Financial Group Inc,7167,0.1054%
Mitsubishi Tanabe Pharma Corp,4508,0.1052%
JSR Corp,4185,0.1047%
Tokyu Fudosan Holdings Corp,3289,0.1045%
Daiwa House Reit Investment Corp,8984,0.1043%
Teijin Ltd,3401,0.1041%
Jtekt Corp,6473,0.104%
Mitsubishi Gas Chemical Co Inc,4182,0.1033%
McDonald's Holdings Company Japan Ltd,2702,0.1032%
Hoshizaki Corp,6465,0.1021%
Mitsubishi Materials Corp,5711,0.1008%
Mitsui OSK Lines Ltd,9104,0.1007%
Chugoku Electric Power Co Inc,9504,0.0994%
Hitachi High-Technologies Corp,8036,0.0991%
Pola Orbis Holdings Inc,4927,0.0988%
Nippon Yusen KK,9101,0.0987%
Isetan Mitsukoshi Holdings Ltd,3099,0.0986%
Suzuken Co Ltd,9987,0.0959%
Medipal Holdings Corp,7459,0.0947%
Hakuhodo DY Holdings Inc,2433,0.0944%
Kobe Steel Ltd,5406,0.0939%
Yamada Denki Co Ltd,9831,0.0935%
Park24 Co Ltd,4666,0.0934%
Central Japan Railway Co,CJPRF,0.0933%
Toppan Printing Co Ltd,7911,0.0921%
Oracle Corp Japan,4716,0.0915%
Otsuka Corp,4768,0.091%
Daicel Corp,4202,0.0897%
Murata Manufacturing Co Ltd,MRAAF,0.0886%
Toyo Suisan Kaisha Ltd,2875,0.0867%
Hisamitsu Pharmaceutical Co Inc,4530,0.0865%
Iida Group Holdings Co Ltd,3291,0.0862%
Air Water Inc,4088,0.0857%
Tokyo Tatemono Co Ltd,8804,0.0847%
Hulic Co Ltd,3003,0.0847%
Nomura Real Estate Holdings Inc,3231,0.0838%
Sony Financial Holdings Inc,8729,0.0838%
Asics Corp,7936,0.0829%
Benesse Holdings Inc,9783,0.0826%
Casio Computer Co Ltd,6952,0.0826%
Kakaku.com Inc,2371,0.0816%
Nissin Foods Holdings Co Ltd,2897,0.0814%
Japan Prime Realty Investment Corp,8955,0.0802%
Sumitomo Dainippon Pharma Co Ltd,4506,0.0802%
Credit Saison Co Ltd,8253,0.0795%
Fuji Electric Co Ltd,6504,0.0789%
Mitsubishi UFJ Lease & Finance Co Ltd,8593,0.0784%
Aeon Financial Service Co Ltd,8570,0.0784%
Showa Shell Sekiyu KK,5002,0.0782%
Yokohama Rubber Co Ltd,5101,0.0774%
Hino Motors Ltd,7205,0.0773%
Sumitomo Rubber Industries Ltd,5110,0.0772%
Calbee Inc,2229,0.0746%
Kamigumi Co Ltd,9364,0.0746%
Sega Sammy Holdings Inc,6460,0.0731%
ABC-Mart Inc,2670,0.0725%
