VTI: Vanguard Total Stock Market ETF
Inception Date: 2001-05-31
Fund Holdings as of: 2018-04-30
Total Assets Under Management (in thousands):	93500462
Shares Outstanding: 684634000
Expense Ratio: 0.04%
Tracks This Index: CRSP US Total Market Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VTI


Holding,Symbol,Weighting
Electronic Arts Inc,EA,0.136%
Travelers Companies Inc,TRV,0.1353%
HP Inc,HPQ,0.1332%
Aon PLC,AON,0.1328%
Progressive Corp,PGR,0.1328%
Illumina Inc,ILMN,0.1327%
Baxter International Inc,BAX,0.1327%
Waste Management Inc,WM,0.1325%
Allstate Corp,ALL,0.1314%
State Street Corp,STT,0.1311%
Air Products and Chemicals Inc,APD,0.1311%
Aflac Inc,AFL,0.1308%
Pioneer Natural Resources Co,PXD,0.1302%
American Electric Power Company Inc,AEP,0.129%
Prologis Inc,PLD,0.1277%
Kraft Heinz Co,KHC,0.1267%
Delta Air Lines Inc,DAL,0.1265%
Estee Lauder Companies Inc,EL,0.1261%
LyondellBasell Industries NV,LYB,0.1258%
Eaton Corporation PLC,ETN,0.1234%
McKesson Corp,MCK,0.1227%
TE Connectivity Ltd,TEL,0.1212%
Analog Devices Inc,ADI,0.1206%
Equinix Inc,EQIX,0.1205%
SunTrust Banks Inc,STI,0.1197%
Fidelity National Information Services Inc,FIS,0.1171%
Johnson Controls International PLC,JCI,0.1171%
Ross Stores Inc,ROST,0.1169%
Sherwin-Williams Co,SHW,0.1161%
Lam Research Corp,LRCX,0.1141%
Sempra Energy,SRE,0.1133%
Fiserv Inc,FISV,0.1124%
Sysco Corp,SYY,0.112%
DXC Technology Co,DXC,0.1112%
Public Storage,PSA,0.1111%
Kinder Morgan Inc,KMI,0.111%
Yum! Brands Inc,YUM,0.11%
Las Vegas Sands Corp,LVS,0.1098%
ServiceNow Inc,NOW,0.1086%
Red Hat Inc,RHT,0.1077%
Southwest Airlines Co,LUV,0.1063%
Autodesk Inc,ADSK,0.1054%
Weyerhaeuser Co,WY,0.1037%
Roper Technologies Inc,ROP,0.1028%
HCA Healthcare Inc,HCA,0.1019%
Edwards Lifesciences Corp,EW,0.1019%
Hewlett Packard Enterprise Co,HPE,0.1014%
Moody's Corp,MCO,0.1012%
PPG Industries Inc,PPG,0.1003%
Public Service Enterprise Group Inc,PEG,0.1003%
T. Rowe Price Group Inc,TROW,0.0994%
Dollar General Corp,DG,0.0992%
VF Corp,VFC,0.098%
Amphenol Corp,APH,0.0971%
Cummins Inc,CMI,0.0962%
Discover Financial Services,DFS,0.0962%
Carnival Corp,CCL,0.0958%
Archer Daniels Midland Co,ADM,0.0953%
General Mills Inc,GIS,0.0947%
Alexion Pharmaceuticals Inc,ALXN,0.0941%
M&T Bank Corp,MTB,0.0937%
Synchrony Financial,SYF,0.0935%
Consolidated Edison Inc,ED,0.0924%
ONEOK Inc,OKE,0.0924%
Regeneron Pharmaceuticals Inc,REGN,0.0914%
Xcel Energy Inc,XEL,0.0901%
Worldpay Inc,WP,0.09%
Western Digital Corp,WDC,0.0891%
PG&E Corp,PCG,0.0883%
Corning Inc,GLW,0.0881%
Zimmer Biomet Holdings Inc,ZBH,0.0879%
Northern Trust Corp,NTRS,0.0878%
Dollar Tree Inc,DLTR,0.0873%
Fifth Third Bancorp,FITB,0.0872%
Concho Resources Inc,CXO,0.0866%
Paccar Inc,PCAR,0.086%
Monster Beverage Corp,MNST,0.086%
Equity Residential,EQR,0.0856%
AvalonBay Communities Inc,AVB,0.085%
Fortive Corp,FTV,0.0841%
Digital Realty Trust Inc,DLR,0.0838%
Parker-Hannifin Corp,PH,0.0834%
Aptiv PLC,APTV,0.0832%
Kroger Co,KR,0.083%
Regions Financial Corp,RF,0.0829%
Rockwell Collins Inc,COL,0.0827%
O'Reilly Automotive Inc,ORLY,0.0827%
Stanley Black & Decker Inc,SWK,0.0821%
International Paper Co,IP,0.0818%
Dr Pepper Snapple Group Inc,DPS,0.081%
Edison International,EIX,0.0808%
Ingersoll-Rand PLC,IR,0.0807%
KeyCorp,KEY,0.08%
Williams Companies Inc,WMB,0.0795%
Newmont Mining Corp,NEM,0.0793%
Agilent Technologies Inc,A,0.0792%
Freeport-McMoRan Inc,FCX,0.0785%
Rockwell Automation Inc,ROK,0.0785%
Citizens Financial Group Inc,CFG,0.0783%
Ameriprise Financial Inc,AMP,0.0782%
WEC Energy Group Inc,WEC,0.0779%
Tyson Foods Inc,TSN,0.0777%
Andeavor,ANDV,0.0772%
Cardinal Health Inc,CAH,0.0763%
Mylan NV,MYL,0.076%
Welltower Inc,WELL,0.0753%
Paychex Inc,PAYX,0.0752%
Hilton Worldwide Holdings Inc,HLT,0.0752%
Willis Towers Watson PLC,WLTW,0.0752%
PPL Corp,PPL,0.0743%
Hartford Financial Services Group Inc,HIG,0.0739%
Waste Connections Inc,WCN,0.0738%
Align Technology Inc,ALGN,0.0734%
Eversource Energy,ES,0.0734%
Devon Energy Corp,DVN,0.0733%
Microchip Technology Inc,MCHP,0.0731%
SBA Communications Corp,SBAC,0.0729%
IHS Markit Ltd,INFO,0.0729%
DTE Energy Co,DTE,0.0727%
Best Buy Co Inc,BBY,0.0725%
Nucor Corp,NUE,0.0724%
Twitter Inc,TWTR,0.0723%
Harris Corp,HRS,0.0723%
Fleetcor Technologies Inc,FLT,0.0715%
Boston Properties Inc,BXP,0.0713%
American Airlines Group Inc,AAL,0.0703%
Royal Caribbean Cruises Ltd,RCL,0.0699%
CenturyLink Inc,CTL,0.0696%
Ventas Inc,VTR,0.0695%
Centene Corp,CNC,0.0694%
NetApp Inc,NTAP,0.0694%
T-Mobile US Inc,TMUS,0.0693%
Cerner Corp,CERN,0.0684%
Laboratory Corporation of America Holdings,LH,0.0677%
Global Payments Inc,GPN,0.0672%
Motorola Solutions Inc,MSI,0.0669%
IDEXX Laboratories Inc,IDXX,0.0657%
Symantec Corp,SYMC,0.0653%
Hess Corp,HES,0.0653%
United Continental Holdings Inc,UAL,0.065%
Palo Alto Networks Inc,PANW,0.065%
Noble Energy Inc,NBL,0.0646%
Autozone Inc,AZO,0.0642%
Workday Inc,WDAY,0.0642%
TD Ameritrade Holding Corp,AMTD,0.064%
Principal Financial Group Inc,PFG,0.0639%
Comerica Inc,CMA,0.0639%
Omnicom Group Inc,OMC,0.0638%
Verisk Analytics Inc,VRSK,0.0633%
FirstEnergy Corp,FE,0.0631%
E*TRADE Financial Corp,ETFC,0.0624%
Huntington Bancshares Inc,HBAN,0.0624%
Kellogg Co,K,0.0623%
CBS Corp,CBS,0.0621%
Ametek Inc,AME,0.062%
SVB Financial Group,SIVB,0.0616%
Essex Property Trust Inc,ESS,0.0616%
Skyworks Solutions Inc,SWKS,0.0611%
MGM Resorts International,MGM,0.0609%
Twenty-First Century Fox Inc,FOX,0.0606%
D.R. Horton Inc,DHI,0.0606%
KLA-Tencor Corp,KLAC,0.0605%
Xilinx Inc,XLNX,0.0604%
American Water Works Company Inc,AWK,0.0604%
Baker Hughes A GE Co,BHGE,0.0602%
Lincoln National Corp,LNC,0.0602%
Wynn Resorts Ltd,WYNN,0.0601%
Tapestry Inc,TPR,0.0592%
Conagra Brands Inc,CAG,0.0591%
TransDigm Group Inc,TDG,0.0588%
Marathon Oil Corp,MRO,0.0586%
Apache Corp,APA,0.0586%
Clorox Co,CLX,0.0585%
WestRock Co,WRK,0.0582%
Celanese Corp,CE,0.0582%
Seagate Technology PLC,STX,0.0582%
Markel Corp,MKL,0.0581%
AmerisourceBergen Corp,ABC,0.0579%
W W Grainger Inc,GWW,0.0578%
Textron Inc,TXT,0.0575%
L3 Technologies Inc,LLL,0.0575%
Loews Corp,L,0.0574%
Entergy Corp,ETR,0.0569%
Dell Technologies Inc,DVMT,0.0569%
Maxim Integrated Products Inc,MXIM,0.0568%
Vulcan Materials Co,VMC,0.0558%
XL Group Ltd,XL,0.0555%
IQVIA Holdings Inc,IQV,0.0555%
Fastenal Co,FAST,0.0554%
Ulta Beauty Inc,ULTA,0.0553%
Biomarin Pharmaceutical Inc,BMRN,0.0552%
First Republic Bank,FRC,0.0552%
Republic Services Inc,RSG,0.0551%
Cintas Corp,CTAS,0.055%
Expedia Group Inc,EXPE,0.0549%
National Oilwell Varco Inc,NOV,0.0548%
Ball Corp,BLL,0.0547%
Realty Income Corp,O,0.0545%
Dover Corp,DOV,0.0544%
Host Hotels & Resorts Inc,HST,0.0544%
Total System Services Inc,TSS,0.0543%
Ameren Corp,AEE,0.0542%
Lennar Corp,LEN,0.054%
MSCI Inc,MSCI,0.0539%
Waters Corp,WAT,0.0539%
Quest Diagnostics Inc,DGX,0.0535%
Splunk Inc,SPLK,0.0535%
ANSYS Inc,ANSS,0.0534%
Mettler-Toledo International Inc,MTD,0.0534%
CBRE Group Inc,CBRE,0.0529%
Citrix Systems Inc,CTXS,0.0529%
Resmed Inc,RMD,0.0528%
Brown-Forman Corp,BF.B,0.0527%
EQT Corp,EQT,0.0527%
Eastman Chemical Co,EMN,0.0525%
Mohawk Industries Inc,MHK,0.0524%
CMS Energy Corp,CMS,0.052%
Equifax Inc,EFX,0.0518%
CoStar Group Inc,CSGP,0.0511%
C.H. Robinson Worldwide Inc,CHRW,0.0507%
Hershey Co,HSY,0.0506%
Arista Networks Inc,ANET,0.0505%
Nektar Therapeutics,NKTR,0.0504%
Newell Brands Inc,NWL,0.0503%
Synopsys Inc,SNPS,0.0502%
Diamondback Energy Inc,FANG,0.05%
Xylem Inc,XYL,0.0498%
United Rentals Inc,URI,0.0496%
Broadridge Financial Solutions Inc,BR,0.0496%
McCormick & Company Inc,MKC,0.0495%
Lear Corp,LEA,0.0494%
Teleflex Inc,TFX,0.0492%
PVH Corp,PVH,0.0492%
IAC/InterActiveCorp,IAC,0.0488%
GGP Inc,GGP,0.0487%
Abiomed Inc,ABMD,0.0486%
J M Smucker Co,SJM,0.0486%
Tiffany & Co,TIF,0.0483%
Arthur J Gallagher & Co,AJG,0.0478%
Alexandria Real Estate Equities Inc,ARE,0.0476%
Molson Coors Brewing Co,TAP,0.0476%
Raymond James Financial Inc,RJF,0.0468%
Genuine Parts Co,GPC,0.0467%
Chipotle Mexican Grill Inc,CMG,0.0466%
XPO Logistics Inc,XPO,0.0464%
Cheniere Energy Inc,LNG,0.0461%
Vornado Realty Trust,VNO,0.0459%
Martin Marietta Materials Inc,MLM,0.0458%
Darden Restaurants Inc,DRI,0.0457%
Ally Financial Inc,ALLY,0.0456%
NVR Inc,NVR,0.0455%
Annaly Capital Management Inc,NLY,0.0454%
Masco Corp,MAS,0.0453%
Carmax Inc,KMX,0.045%
Expeditors International of Washington Inc,EXPD,0.045%
Square Inc,SQ,0.0448%
Cadence Design Systems Inc,CDNS,0.0447%
Akamai Technologies Inc,AKAM,0.0447%
Cboe Global Markets Inc,CBOE,0.0447%
Henry Schein Inc,HSIC,0.0446%
Church & Dwight Co Inc,CHD,0.0444%
Whirlpool Corp,WHR,0.0444%
TransUnion,TRU,0.0443%
Packaging Corp of America,PKG,0.0442%
HCP Inc,HCP,0.0441%
Invesco Ltd,IVZ,0.044%
Cooper Companies Inc,COO,0.0437%
Wyndham Worldwide Corp,WYN,0.0436%
Dentsply Sirona Inc,XRAY,0.0436%
Hologic Inc,HOLX,0.0436%
Extra Space Storage Inc,EXR,0.0434%
Franklin Resources Inc,BEN,0.0432%
Kansas City Southern,KSU,0.0431%
Pentair PLC,PNR,0.043%
CDW Corp,CDW,0.0429%
Huntington Ingalls Industries Inc,HII,0.0429%
CA Inc,CA,0.0427%
Incyte Corp,INCY,0.0427%
Gartner Inc,IT,0.0427%
Domino's Pizza Inc,DPZ,0.0426%
Unum Group,UNM,0.0426%
CenterPoint Energy Inc,CNP,0.0426%
Viacom Inc,VIAB,0.0425%
Take-Two Interactive Software Inc,TTWO,0.0425%
Kohls Corp,KSS,0.0424%
FMC Corp,FMC,0.0421%
Albemarle Corp,ALB,0.042%
Nielsen Holdings PLC,NLSN,0.042%
F5 Networks Inc,FFIV,0.0419%
Varian Medical Systems Inc,VAR,0.0416%
International Flavors & Fragrances Inc,IFF,0.0415%
Zions Bancorp,ZION,0.0414%
Bunge Ltd,BG,0.0414%
J B Hunt Transport Services Inc,JBHT,0.0414%
Cincinnati Financial Corp,CINF,0.0413%
IDEX Corp,IEX,0.0412%
Arch Capital Group Ltd,ACGL,0.0412%
Cabot Oil & Gas Corp,COG,0.0409%
Nasdaq Inc,NDAQ,0.0409%
Qurate Retail Inc,QRTEA,0.0406%
Copart Inc,CPRT,0.0405%
Targa Resources Corp,TRGP,0.0403%
BorgWarner Inc,BWA,0.0402%
Michael Kors Holdings Ltd,KORS,0.0402%
HollyFrontier Corp,HFC,0.0397%
Verisign Inc,VRSN,0.0397%
Norwegian Cruise Line Holdings Ltd,NCLH,0.0396%
Perrigo Company PLC,PRGO,0.0396%
Keysight Technologies Inc,KEYS,0.0395%
Lamb Weston Holdings Inc,LW,0.0393%
Alliant Energy Corp,LNT,0.0391%
Steel Dynamics Inc,STLD,0.0391%
VMware Inc,VMW,0.0391%
SS&C Technologies Holdings Inc,SSNC,0.039%
Mosaic Co,MOS,0.0388%
Torchmark Corp,TMK,0.0388%
Hasbro Inc,HAS,0.0388%
Alliance Data Systems Corp,ADS,0.0388%
Lululemon Athletica Inc,LULU,0.0388%
Duke Realty Corp,DRE,0.0388%
UDR Inc,UDR,0.0387%
PTC Inc,PTC,0.0387%
SL Green Realty Corp,SLG,0.0387%
Universal Health Services Inc,UHS,0.0386%
Atmos Energy Corp,ATO,0.0383%
Advanced Micro Devices Inc,AMD,0.0383%
ON Semiconductor Corp,ON,0.0383%
Mid-America Apartment Communities Inc,MAA,0.0383%
Voya Financial Inc,VOYA,0.038%
Burlington Stores Inc,BURL,0.0379%
Spirit AeroSystems Holdings Inc,SPR,0.0378%
Affiliated Managers Group Inc,AMG,0.0375%
Reinsurance Group of America Inc,RGA,0.0373%
Vail Resorts Inc,MTN,0.037%
Avery Dennison Corp,AVY,0.0369%
Alcoa Corp,AA,0.0368%
Hormel Foods Corp,HRL,0.0367%
East West Bancorp Inc,EWBC,0.0367%
Fidelity National Financial Inc,FNF,0.0365%
Old Dominion Freight Line Inc,ODFL,0.0364%
Western Union Co,WU,0.0364%
Leidos Holdings Inc,LDOS,0.0363%
Chemours Co,CC,0.0363%
Cimarex Energy Co,XEC,0.0362%
A. O. Smith Corp,AOS,0.036%
Everest Re Group Ltd,RE,0.0359%
NRG Energy Inc,NRG,0.0357%
SEI Investments Co,SEIC,0.0357%
Pinnacle West Capital Corp,PNW,0.0355%
Juniper Networks Inc,JNPR,0.0354%
Macy's Inc,M,0.0351%
Trimble Inc,TRMB,0.0351%
bluebird bio Inc,BLUE,0.035%
Aramark,ARMK,0.0349%
WellCare Health Plans Inc,WCG,0.0346%
Regency Centers Corp,REG,0.0346%
CF Industries Holdings Inc,CF,0.0342%
Jack Henry & Associates Inc,JKHY,0.0342%
GrubHub Inc,GRUB,0.0342%
Iron Mountain Inc,IRM,0.0341%
Interpublic Group of Companies Inc,IPG,0.0341%
Alleghany Corp,Y,0.0338%
DaVita Inc,DVA,0.0337%
LKQ Corp,LKQ,0.0337%
Qorvo Inc,QRVO,0.0336%
