SPY: SPDR S&P 500 ETF
Inception Date: 1993-01-22
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	253878929
Shares Outstanding: 964682000
Expense Ratio: 0.0945%
Tracks This Index: S&P 500 Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: State Street SPDR
Structure: UIT
ETF Home Page: http://etfdb.com/etf/SPY


Holding,Symbol,Weighting
Air Products and Chemicals Inc,APD,0.1573%
Illumina Inc,ILMN,0.1572%
HP Inc,HPQ,0.1569%
Aflac Inc,AFL,0.1561%
Baxter International Inc,BAX,0.1558%
eBay Inc,EBAY,0.1557%
Travelers Companies Inc,TRV,0.1551%
Prologis Inc,PLD,0.1535%
Aon PLC,AON,0.153%
Progressive Corp,PGR,0.1528%
American Electric Power Company Inc,AEP,0.1514%
Delta Air Lines Inc,DAL,0.1512%
LyondellBasell Industries NV,LYB,0.1505%
Anadarko Petroleum Corp,APC,0.15%
Pioneer Natural Resources Co,PXD,0.1492%
Equinix Inc,EQIX,0.1483%
Allstate Corp,ALL,0.148%
Johnson Controls International PLC,JCI,0.1454%
Fidelity National Information Services Inc,FIS,0.1452%
Analog Devices Inc,ADI,0.1449%
Kraft Heinz Co,KHC,0.1438%
Waste Management Inc,WM,0.1431%
TE Connectivity Ltd,TEL,0.143%
Eaton Corporation PLC,ETN,0.1428%
McKesson Corp,MCK,0.1422%
SunTrust Banks Inc,STI,0.1387%
Cash Component,CASH,0.1386%
Public Storage,PSA,0.1369%
Lam Research Corp,LRCX,0.1368%
Kinder Morgan Inc,KMI,0.1363%
Ross Stores Inc,ROST,0.1357%
Sherwin-Williams Co,SHW,0.1354%
Sysco Corp,SYY,0.1341%
Estee Lauder Companies Inc,EL,0.132%
DXC Technology Co,DXC,0.129%
Red Hat Inc,RHT,0.1285%
Fiserv Inc,FISV,0.127%
Sempra Energy,SRE,0.1259%
Southwest Airlines Co,LUV,0.1254%
Edwards Lifesciences Corp,EW,0.1231%
Autodesk Inc,ADSK,0.1228%
Weyerhaeuser Co,WY,0.1227%
HCA Healthcare Inc,HCA,0.1218%
T. Rowe Price Group Inc,TROW,0.1202%
M&T Bank Corp,MTB,0.1201%
Moody's Corp,MCO,0.1199%
Roper Technologies Inc,ROP,0.1198%
PPG Industries Inc,PPG,0.1197%
Hewlett Packard Enterprise Co,HPE,0.1193%
Yum! Brands Inc,YUM,0.1188%
VF Corp,VFC,0.1169%
Public Service Enterprise Group Inc,PEG,0.1154%
Amphenol Corp,APH,0.1142%
ONEOK Inc,OKE,0.1141%
Carnival Corp,CCL,0.1132%
Alexion Pharmaceuticals Inc,ALXN,0.1129%
Discover Financial Services,DFS,0.1114%
Dollar General Corp,DG,0.1106%
Archer Daniels Midland Co,ADM,0.1104%
Consolidated Edison Inc,ED,0.1096%
General Mills Inc,GIS,0.1075%
