IDENT,NAME,MGR,INFOS,SICOVAM,TYPE,LIMITE_PERTE,ENTITE,MARKET,QUOTATION,HEDGEFUND,CURRENCY,BUSINESS_LINE_ID,MARKED_AS_CLOSED
4798,AB,5637,,67425467,4,0,0,,,,0,,0
4799,SG,4797,,67425467,4,0,0,,,,0,,0
4800,DMA Dump,4643,,67425467,4,0,0,,,,0,,0
4801,FX,4800,,67425467,4,0,0,,,,0,,0
4802,ETFO,4800,,67425467,4,0,0,,,,0,,0
4804,SG,4802,,67425467,4,0,0,,,,0,,0
4806,SG,4801,,67425467,4,0,0,,,,0,,0
4823,dehow,11975,,67425467,4,0,10000579,,,,0,,0
4824,dehow - Relative Value,4823,,67425467,4,0,10000579,,,,0,,0
4825,dehow - Outright,4823,,67425467,4,0,10000579,,,,0,,0
4827,dehow - Hedge,4823,,67425467,4,0,10000579,,,,0,,0
4843,PB KRW margining (UBS),4409,,67417078,4,0,10000579,,,,55923524,,0
4845,NDF,4410,,67417078,4,0,10000579,,,,55923524,,0
4923,Month End Interest,4415,,67425467,4,0,10000579,,,,0,,0
4924,dehow - Carry,4823,Carry,67425467,4,0,10000579,,,,0,,0
4925,FXO,4798,,67425467,4,0,10000579,,,,0,,0
4943,Unsecured Funding Charge,4410,,67425467,4,0,10000579,,,,0,,0
4944,dehow - PreDec09 Unsecured Funding,6236,,67425467,4,0,10000579,,,,0,,0
4946,Pre-Dec09 Unsecured Funding,6234,,67425467,4,0,10000579,,,,0,,0
4947,Unsecured Funding Charge,4409,,67425467,4,0,10000579,,,,0,,0
4963,payerj TWSE,4665,,67425470,4,0,10000579,,,,55923524,,0
4965,O JP ,11815,,67425464,4,0,10000579,,,,55923524,,0
4985,EURUSD 090511,4925,,67425467,4,0,10000579,,,,0,,0
4986,EURGBP 090709,4925,,67493189,4,0,10000579,,,,0,,0
4987,AUDUSD 090506,4925,,67425467,4,0,10000579,,,,0,,0
4988,dehow - Outright - Bank Capital,4825,,67425467,4,0,10000579,,,,0,,0
4989,dehow - New Issues,4823,,67425467,4,0,10000579,,,,0,,0
4990,joint,4783,,67425467,4,0,10000579,,,,0,,0
4994,Margin,4797,,67425467,0,0,0,,,,0,,0
5047,B Korea,4410,,67425490,4,0,10000579,,,,55923524,,0
5048,B Hong Kong,4410,,67425467,4,0,10000579,,,,0,,0
5049,B Japan,4410,,67425467,4,0,10000579,,,,0,,0
5050,Hong Kong Index,5048,,67425467,4,0,10000579,,,,0,,0
5055,sguy KOSPI2 - 20090611 - jun09,5310,,67425490,4,0,0,,,,55923524,,0
5056,sguy KOSPI2 - 20090709 - jul09,5310,,67425490,4,0,0,,,,55923524,,0
5057,sguy KOSPI2 - 20090910 - sep09,5310,,67425490,4,0,0,,,,55923524,,0
5058,sguy KOSPI2 - 20090813 - aug09,5310,,67425490,4,0,0,,,,55923524,,0
5059,BF,4409,,67425490,4,0,10000579,,,,55923524,,0
5065,sguy KOSPI2 - 20090514 - may09,5310,,67425490,4,0,0,,,,55923524,,0
5066,sguy KOSPI2 - 20091210 - dec09,5310,,67425490,4,0,0,,,,55923524,,0
5069,payerj AS51,4665,,67425471,4,0,10000579,,,,55923524,,0
5070,payerj FX book,4665,,67355002,4,0,10000579,,,,55923524,,0
5085,O Block Trades,11815,,67425467,4,0,10000579,,,,0,,0
5086,O IPOs,11815,,67425467,4,0,10000579,,,,0,,0
5088,Pre-Dec09 Month End Funding,6234,,67425467,4,0,10000579,,,,0,,0
5089,Month End Funding Charge,4410,,67425467,4,0,10000579,,,,0,,0
5090,dehow - PreDec09 Secured Funding,6236,,67425467,4,0,10000579,,,,0,,0
5091,aseiz,4823,,67425467,4,0,10000579,,,,0,,0
5092,aseiz - Carry,5091,Carry,67425467,4,0,10000579,,,,0,,0
5093,aseiz - Outright,5091,,67425467,4,0,10000579,,,,0,,0
5094,aseiz - Hedge,5091,,67425467,4,0,10000579,,,,0,,0
5095,aseiz - Relative Value,5091,,67425467,4,0,10000579,,,,0,,0
5096,payerj RV,4665,,67425464,4,0,10000579,,,,55923524,,0
5097,Stock Borrow / EQ swaps,4410,,67425467,4,0,10000579,,,,0,,0
5100,Convexity,4785,,67425467,4,0,10000579,,,,0,,0
5102,TS today's trades,4410,,0,0,0,0,,,,55923524,,0
5105,dehow - Outright - High Yield,4825,,67425467,4,0,10000579,,,,0,,0
5106,dehow - Outright - Shorts,4825,,67425467,4,0,10000579,,,,0,,0
5108,B Australia,4410,,67425467,4,0,10000579,,,,0,,0
5111,O HK ,11815,,67425465,4,0,10000579,,,,55923524,,0
5125,O KR,8764,,67425467,4,0,10000579,,,,0,,0
5165,Spread,5100,,67425467,4,0,0,,,,0,,0
5166,aseiz - New Issues,5091,,67425467,4,0,10000579,,,,0,,0
5167,aseiz - PreDec09 Secured Funding,6232,,67425467,4,0,10000579,,,,0,,0
5168,aseiz - PreDec09 Unsecured Funding,6232,,67425467,4,0,10000579,,,,0,,0
5169,index,4965,,67425464,4,0,10000579,,,,55923524,,0
5188,payerj SX5E,4665,,67425468,4,0,10000579,,,,55923524,,0
5190,HSI,4789,,67425465,4,0,0,,,,55923524,,0
5210,B Var Swap,11815,,67425467,4,0,10000579,,,,0,,0
5231,sguy NKY open positions,4688,,67425464,4,0,10000579,,,,55923524,,0
5250,temp,4667,,0,4,0,10000579,,,,55923524,,0
5270,aseiz - Outright - Bank Capital,5093,,67425467,4,0,10000579,,,,0,,0
5271,aseiz - Outright - High Yield,5093,,67425467,4,0,10000579,,,,0,,0
5272,aseiz - Outright - Shorts,5093,,67425467,4,0,10000579,,,,0,,0
5273,aseiz - Outright - Bank Cap - Europe,5270,,67425467,4,0,10000579,,,,0,,0
5274,aseiz - Outright - Bank Cap - Asia,5270,,67425467,4,0,10000579,,,,0,,0
5275,dehow - Outright - Bank Cap - Europe,4988,,67425467,4,0,10000579,,,,0,,0
5276,dehow - Outright - Bank Cap - Asia,4988,,67425467,4,0,10000579,,,,0,,0
5290,sguy NKY expired positions,4688,,67425464,4,0,10000579,,,,55923524,,0
5310,sguy KOSPI2 expired positions 2009,4686,,67425490,4,0,0,,,,55923524,,0
5350,B Indonesia,4410,,67425467,4,0,10000579,,,,0,,0
5370,ranli,11975,,67425467,4,0,10000579,,,,0,,0
